"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Bike.Key"
"0h 28m 15s","4/14/2012 16:58","4/14/2012 17:26","Kennedy Center","Jefferson Dr & 14th St SW","W00078","Casual"
"0h 9m 16s","6/14/2012 22:20","6/14/2012 22:29","Massachusetts Ave & Dupont Circle NW","New York Ave & 15th St NW","W00561","Registered"
"0h 10m 40s","5/18/2012 8:08","5/18/2012 8:19","Columbia Rd & Belmont St NW","18th St & Pennsylvania Ave NW","W00318","Registered"
"0h 19m 52s","6/27/2012 8:09","6/27/2012 8:29","15th & P St NW","4th & D St NW / Judiciary Square","W00975","Registered"
"0h 9m 13s","6/3/2012 16:26","6/3/2012 16:35","M St & New Jersey Ave SE","14th & D St SE","W00767","Registered"
"0h 27m 24s","5/15/2012 20:47","5/15/2012 21:15","4th & D St NW / Judiciary Square","Smithsonian / Jefferson Dr & 12th St SW","W00458","Casual"
"0h 22m 14s","4/1/2012 18:30","4/1/2012 18:52","Court House Metro / Wilson Blvd & N Uhle St","14th & G St NW","W01017","Registered"
"0h 6m 42s","6/28/2012 18:45","6/28/2012 18:51","20th & L St NW","15th & P St NW","W01342","Registered"
"1h 31m 1s","4/2/2012 15:42","4/2/2012 17:13","7th & F St NW / National Portrait Gallery","C & O Canal & Wisconsin Ave NW","W00369","Casual"
"0h 5m 23s","4/22/2012 1:58","4/22/2012 2:03","Adams Mill & Columbia Rd NW","3000 Connecticut Ave NW / National Zoo","W00940","Registered"
"0h 14m 8s","6/17/2012 0:54","6/17/2012 1:08","New York Ave & 15th St NW","Columbus Circle / Union Station","W00089","Registered"
"3h 35m 36s","6/9/2012 13:10","6/9/2012 16:46","McPherson Square - 14th & H St NW","19th St & Constitution Ave NW","W01096","Casual"
"0h 6m 43s","4/27/2012 0:33","4/27/2012 0:39","4th & East Capitol St NE","North Capitol St & F St NW","W00975","Registered"
"1h 27m 52s","6/4/2012 17:24","6/4/2012 18:52","10th St & Constitution Ave NW","Smithsonian / Jefferson Dr & 12th St SW","W00027","Casual"
"0h 10m 16s","6/26/2012 18:39","6/26/2012 18:49","14th & G St NW","North Capitol St & F St NW","W00703","Registered"
"0h 7m 5s","6/6/2012 20:05","6/6/2012 20:12","11th & Kenyon St NW","Adams Mill & Columbia Rd NW","W00501","Registered"
"0h 7m 12s","5/19/2012 19:20","5/19/2012 19:28","4th St & Massachusetts Ave NW","3rd & H St NE","W20128","Registered"
"0h 20m 47s","5/17/2012 18:16","5/17/2012 18:37","D St & Maryland Ave NE","7th & F St NW / National Portrait Gallery","W01452","Casual"
"0h 7m 18s","6/23/2012 7:19","6/23/2012 7:26","Clarendon Metro / Wilson Blvd & N Highland St","N Randolph St & Fairfax Dr","W00251","Registered"
"0h 4m 1s","5/24/2012 20:23","5/24/2012 20:27","Columbus Circle / Union Station","6th & H St NE","W01170","Registered"
"0h 6m 53s","6/4/2012 19:14","6/4/2012 19:20","Connecticut Ave & Newark St NW / Cleveland Park","Van Ness Metro / UDC","W01404","Registered"
"0h 11m 49s","6/9/2012 11:12","6/9/2012 11:24","Massachusetts Ave & Dupont Circle NW","Adams Mill & Columbia Rd NW","W20033","Registered"
"0h 6m 8s","4/7/2012 10:37","4/7/2012 10:43","17th & Rhode Island Ave NW","21st & I St NW","W00744","Registered"
"0h 5m 27s","5/18/2012 17:19","5/18/2012 17:25","14th & D St SE","Lincoln Park / 13th & East Capitol St NE ","W00422","Registered"
"0h 46m 6s","6/18/2012 14:51","6/18/2012 15:37","US Dept of State / Virginia Ave & 21st St NW","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W00371","Casual"
"0h 4m 54s","5/19/2012 3:07","5/19/2012 3:12","Lincoln Park / 13th & East Capitol St NE ","3rd & D St SE","W00726","Registered"
"0h 19m 16s","4/14/2012 10:35","4/14/2012 10:55","13th & D St NE","15th & P St NW","W01312","Registered"
"0h 6m 40s","6/25/2012 19:08","6/25/2012 19:14","16th & Harvard St NW","Columbia Rd & Belmont St NW","W01392","Registered"
"0h 10m 37s","6/19/2012 8:45","6/19/2012 8:55","17th & K St NW [formerly 17th & L St NW]","20th & E St NW","W01483","Registered"
"0h 3m 35s","5/24/2012 18:00","5/24/2012 18:03","Columbus Circle / Union Station","D St & Maryland Ave NE","W00640","Registered"
"0h 18m 24s","4/30/2012 20:13","4/30/2012 20:31","Metro Center / 12th & G St NW","13th & H St NE","W00724","Registered"
"0h 11m 2s","5/17/2012 22:51","5/17/2012 23:02","11th & H St NE","Florida Ave & R St NW","W00599","Casual"
"0h 7m 41s","6/17/2012 6:27","6/17/2012 6:35","15th & P St NW","14th & V St NW","W00759","Registered"
"0h 12m 9s","4/29/2012 12:41","4/29/2012 12:53","6th & H St NE","1st & Rhode Island Ave NW","W00066","Registered"
"0h 16m 52s","4/27/2012 22:08","4/27/2012 22:24","4th St & Massachusetts Ave NW","Massachusetts Ave & Dupont Circle NW","W00252","Casual"
"2h 8m 47s","4/16/2012 11:38","4/16/2012 13:47","19th St & Constitution Ave NW","North Capitol St & F St NW","W01224","Casual"
"0h 41m 27s","4/17/2012 17:40","4/17/2012 18:21","C & O Canal & Wisconsin Ave NW","Potomac & Pennsylvania Ave SE","W01390","Registered"
"0h 7m 58s","5/24/2012 8:01","5/24/2012 8:09","14th & Harvard St NW","Thomas Circle","W00675","Registered"
"1h 23m 53s","5/14/2012 12:33","5/14/2012 13:56","Jefferson Dr & 14th St SW","Jefferson Dr & 14th St SW","W01160","Casual"
"0h 32m 7s","6/28/2012 9:49","6/28/2012 10:21","25th St & Pennsylvania Ave NW","15th & P St NW","W01266","Registered"
"0h 11m 25s","4/10/2012 19:48","4/10/2012 19:59","4th & E St SW","5th St & K St NW","W00595","Registered"
"0h 6m 22s","4/30/2012 10:33","4/30/2012 10:40","20th St & Florida Ave NW","21st & M St NW","W00343","Registered"
"0h 5m 7s","5/16/2012 14:41","5/16/2012 14:46","11th & H St NE","Columbus Circle / Union Station","W01453","Registered"
"0h 29m 44s","6/25/2012 11:07","6/25/2012 11:37","Metro Center / 12th & G St NW","Maryland & Independence Ave SW","w00765","Casual"
"0h 22m 15s","5/31/2012 15:30","5/31/2012 15:53","4th St & Rhode Island Ave NE","USDA / 12th & Independence Ave SW","W01253","Registered"
"0h 13m 12s","5/10/2012 7:08","5/10/2012 7:22","3000 Connecticut Ave NW / National Zoo","21st & I St NW","W01470","Registered"
"0h 11m 52s","6/16/2012 16:35","6/16/2012 16:46","Calvert St & Woodley Pl NW","Georgetown Harbor / 30th St NW","W20159","Casual"
"0h 18m 27s","6/23/2012 19:31","6/23/2012 19:50","15th & P St NW","14th & Harvard St NW","W00373","Registered"
"0h 9m 52s","4/11/2012 7:50","4/11/2012 8:00","Columbus Circle / Union Station","M St & New Jersey Ave SE","W00402","Registered"
"0h 25m 47s","4/28/2012 12:52","4/28/2012 13:18","Lincoln Park / 13th & East Capitol St NE ","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W01348","Registered"
"0h 9m 38s","6/7/2012 12:14","6/7/2012 12:23","Thomas Circle","17th & Corcoran St NW","W00802","Registered"
"0h 42m 4s","5/2/2012 16:48","5/2/2012 17:30","19th St & Constitution Ave NW","Maryland & Independence Ave SW","W01369","Casual"
"2h 12m 58s","5/8/2012 9:27","5/8/2012 11:40","Smithsonian / Jefferson Dr & 12th St SW","Smithsonian / Jefferson Dr & 12th St SW","W00714","Casual"
"0h 21m 3s","6/20/2012 7:55","6/20/2012 8:16","1st & K St SE","19th & E Street NW","W00430","Registered"
"0h 4m 40s","4/19/2012 9:22","4/19/2012 9:27","Thomas Circle","21st & M St NW","W20011","Registered"
"0h 6m 59s","6/12/2012 17:30","6/12/2012 17:37","14th & Rhode Island Ave NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W00785","Registered"
"0h 12m 32s","6/9/2012 8:43","6/9/2012 8:56","14th & V St NW","M St & Pennsylvania Ave NW","W20163","Registered"
"0h 20m 14s","6/11/2012 11:17","6/11/2012 11:37","10th & Monroe St NE","17th & Rhode Island Ave NW","W00163","Registered"
"0h 5m 7s","4/21/2012 18:12","4/21/2012 18:17","5th St & K St NW","Convention Center / 7th & M St NW","W00989","Casual"
"0h 15m 27s","6/10/2012 12:58","6/10/2012 13:14","Potomac & Pennsylvania Ave SE","5th & F St NW","W00483","Registered"
"0h 13m 59s","5/8/2012 21:09","5/8/2012 21:23","7th & F St NW / National Portrait Gallery","4th & East Capitol St NE","W00240","Registered"
"0h 22m 47s","5/7/2012 18:00","5/7/2012 18:23","M St & Pennsylvania Ave NW","New York Ave & 15th St NW","W00579","Casual"
"0h 4m 39s","5/31/2012 22:02","5/31/2012 22:07","Adams Mill & Columbia Rd NW","Adams Mill & Columbia Rd NW","W20121","Registered"
"0h 6m 5s","4/12/2012 8:43","4/12/2012 8:50","4th & D St NW / Judiciary Square","4th & E St SW","W01487","Registered"
"0h 26m 1s","6/15/2012 18:40","6/15/2012 19:06","Key Blvd & N Quinn St","14th & D St NW / Ronald Reagan Building","W00418","Registered"
"0h 5m 29s","6/8/2012 15:41","6/8/2012 15:47","20th & E St NW","17th & K St NW [formerly 17th & L St NW]","W00844","Registered"
"0h 19m 4s","5/4/2012 18:26","5/4/2012 18:45","8th & H St NW","Georgetown Harbor / 30th St NW","W01210","Registered"
"0h 7m 24s","5/24/2012 8:08","5/24/2012 8:16","New Hampshire Ave & T St NW [formerly 16th & U St NW]","17th & K St NW / Farragut Square","W00190","Registered"
"0h 7m 0s","6/20/2012 9:39","6/20/2012 9:46","S Glebe & Potomac Ave","15th & Crystal Dr","W01392","Registered"
"0h 6m 18s","4/20/2012 8:20","4/20/2012 8:26","20th & O St NW / Dupont South","US Dept of State / Virginia Ave & 21st St NW","W00051","Registered"
"0h 33m 17s","6/4/2012 16:24","6/4/2012 16:58","Jefferson Dr & 14th St SW","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W00100","Casual"
"0h 3m 8s","4/11/2012 18:28","4/11/2012 18:31","14th & Harvard St NW","Adams Mill & Columbia Rd NW","W00465","Registered"
"0h 15m 39s","6/13/2012 14:34","6/13/2012 14:50","M St & New Jersey Ave SE","Potomac & Pennsylvania Ave SE","W01477","Registered"
"0h 12m 21s","4/29/2012 19:09","4/29/2012 19:22","New Hampshire Ave & T St NW [formerly 16th & U St NW]","M St & Pennsylvania Ave NW","W01281","Registered"
"0h 52m 7s","6/28/2012 22:15","6/28/2012 23:07","5th St & K St NW","5th St & K St NW","W00945","Casual"
"0h 7m 14s","6/18/2012 19:28","6/18/2012 19:35","McPherson Square - 14th & H St NW","14th & V St NW","W00876","Registered"
"0h 11m 0s","4/1/2012 19:26","4/1/2012 19:37","North Capitol St & F St NW","14th & Rhode Island Ave NW","W00308","Registered"
"0h 5m 54s","5/30/2012 19:48","5/30/2012 19:54","14th & R St NW","Massachusetts Ave & Dupont Circle NW","W00422","Registered"
"0h 22m 4s","4/7/2012 13:32","4/7/2012 13:54","19th St & Constitution Ave NW","Metro Center / 12th & G St NW","W00880","Casual"
"1h 32m 41s","4/26/2012 8:12","4/26/2012 9:45","21st & I St NW","1st & M St NE","W01224","Registered"
"0h 31m 17s","4/29/2012 16:23","4/29/2012 16:54","N Adams St & Lee Hwy","Massachusetts Ave & Dupont Circle NW","W00593","Casual"
"0h 4m 46s","6/3/2012 10:24","6/3/2012 10:29","15th St & Massachusetts Ave SE","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00870","Registered"
"0h 4m 30s","6/19/2012 19:30","6/19/2012 19:35","16th & Harvard St NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W01216","Registered"
"0h 6m 38s","4/19/2012 19:21","4/19/2012 19:27","21st & M St NW","Thomas Circle","W00270","Registered"
"0h 12m 28s","5/24/2012 17:22","5/24/2012 17:35","4th & D St NW / Judiciary Square","1st & K St SE","W01182","Registered"
"1h 56m 50s","5/12/2012 15:44","5/12/2012 17:41","L'Enfant Plaza / 7th & C St SW","L'Enfant Plaza / 7th & C St SW","W00227","Casual"
"0h 9m 50s","6/6/2012 19:50","6/6/2012 20:00","North Capitol St & F St NW","4th & E St SW","W00292","Registered"
"0h 32m 24s","5/23/2012 15:12","5/23/2012 15:44","4th & M St SW","Maryland & Independence Ave SW","W00596","Casual"
"0h 2m 41s","5/29/2012 20:29","5/29/2012 20:32","Eckington Pl & Q St NE","1st & M St NE","W00591","Registered"
"0h 26m 5s","5/3/2012 19:51","5/3/2012 20:17","8th & H St NW","Smithsonian / Jefferson Dr & 12th St SW","W00182","Casual"
"0h 6m 43s","6/6/2012 6:41","6/6/2012 6:48","16th & Harvard St NW","17th & Rhode Island Ave NW","W00484","Registered"
"0h 4m 45s","5/29/2012 7:06","5/29/2012 7:10","Lincoln Park / 13th & East Capitol St NE ","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00637","Registered"
"0h 6m 51s","5/29/2012 5:12","5/29/2012 5:19","1st & Rhode Island Ave NW","15th & P St NW","W20076","Registered"
"0h 6m 0s","6/30/2012 17:21","6/30/2012 17:27","Idaho Ave & Newark St NW [on 2nd District patio]","Tenleytown / Wisconsin Ave & Albemarle St NW","W00330","Registered"
"0h 14m 15s","4/27/2012 17:15","4/27/2012 17:29","Lincoln Park / 13th & East Capitol St NE ","North Capitol St & F St NW","W01220","Registered"
"0h 34m 56s","6/4/2012 21:24","6/4/2012 21:59","Tenleytown / Wisconsin Ave & Albemarle St NW","14th St Heights / 14th & Crittenden St NW","W00039","Registered"
"0h 4m 58s","5/12/2012 17:22","5/12/2012 17:27","Virginia Square Metro / N Monroe St & 9th St N","N Quincy St & Glebe Rd","W01176","Casual"
"1h 18m 27s","5/12/2012 9:48","5/12/2012 11:06","Massachusetts Ave & Dupont Circle NW","Massachusetts Ave & Dupont Circle NW","W01419","Casual"
"0h 20m 26s","4/13/2012 18:05","4/13/2012 18:26","14th & R St NW","14th & R St NW","W00083","Registered"
"0h 6m 38s","6/28/2012 17:33","6/28/2012 17:40","4th St & Massachusetts Ave NW","Columbus Circle / Union Station","W01400","Registered"
"0h 14m 53s","6/15/2012 23:07","6/15/2012 23:22","C & O Canal & Wisconsin Ave NW","Thomas Circle","W00311","Registered"
"0h 3m 2s","5/16/2012 2:56","5/16/2012 3:00","17th & Rhode Island Ave NW","Massachusetts Ave & Dupont Circle NW","W01131","Registered"
"1h 56m 30s","5/21/2012 9:47","5/21/2012 11:43","20th & E St NW","21st & I St NW","W00629","Casual"
"0h 2m 26s","4/26/2012 21:01","4/26/2012 21:03","16th & Harvard St NW","Adams Mill & Columbia Rd NW","W01346","Registered"
"0h 7m 10s","6/9/2012 15:54","6/9/2012 16:01","14th & V St NW","1st & Rhode Island Ave NW","W00284","Registered"
"0h 7m 8s","4/17/2012 17:08","4/17/2012 17:15","3rd & D St SE","D St & Maryland Ave NE","W00516","Registered"
"0h 3m 17s","4/13/2012 7:54","4/13/2012 7:57","15th & P St NW","17th & Corcoran St NW","W01358","Registered"
"0h 33m 7s","6/8/2012 17:07","6/8/2012 17:40","37th & O St NW / Georgetown University","20th & O St NW / Dupont South","W01271","Casual"
"0h 3m 25s","6/14/2012 10:15","6/14/2012 10:19","17th & Corcoran St NW","Massachusetts Ave & Dupont Circle NW","W00606","Registered"
"0h 9m 23s","5/16/2012 18:36","5/16/2012 18:46","Columbus Circle / Union Station","Bladensburg Rd & Benning Rd NE","W01445","Registered"
"0h 9m 21s","4/8/2012 22:20","4/8/2012 22:30","37th & O St NW / Georgetown University","21st & M St NW","W00380","Registered"
"0h 8m 19s","5/29/2012 21:36","5/29/2012 21:45","15th & P St NW","17th & Corcoran St NW","W20152","Registered"
"0h 15m 3s","5/12/2012 11:02","5/12/2012 11:17","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","19th St & Constitution Ave NW","W00846","Registered"
"1h 5m 26s","6/30/2012 17:32","6/30/2012 18:37","Jefferson Dr & 14th St SW","USDA / 12th & Independence Ave SW","W00414","Casual"
"0h 22m 54s","4/29/2012 16:45","4/29/2012 17:08","USDA / 12th & Independence Ave SW","20th & Crystal Dr","W00921","Registered"
"0h 3m 58s","5/24/2012 9:11","5/24/2012 9:15","20th St & Florida Ave NW","20th & O St NW / Dupont South","W01350","Registered"
"0h 16m 53s","4/11/2012 9:14","4/11/2012 9:31","7th & R St NW / Shaw Library","14th & G St NW","W01173","Registered"
"0h 17m 39s","4/21/2012 14:34","4/21/2012 14:51","13th St & New York Ave NW","Massachusetts Ave & Dupont Circle NW","W00391","Casual"
"0h 16m 26s","6/15/2012 22:21","6/15/2012 22:37","7th & F St NW / National Portrait Gallery","3rd & D St SE","W00151","Registered"
"0h 4m 56s","4/23/2012 19:30","4/23/2012 19:35","US Dept of State / Virginia Ave & 21st St NW","17th & K St NW [formerly 17th & L St NW]","W00953","Registered"
"0h 2m 7s","6/2/2012 10:23","6/2/2012 10:26","8th & H St NW","Metro Center / 12th & G St NW","W00521","Registered"
"0h 32m 10s","4/7/2012 6:17","4/7/2012 6:49","Idaho Ave & Newark St NW [on 2nd District patio]","North Capitol St & F St NW","W00489","Casual"
"0h 37m 11s","5/27/2012 17:26","5/27/2012 18:03","Maryland & Independence Ave SW","19th St & Constitution Ave NW","W01369","Casual"
"0h 7m 9s","6/18/2012 20:48","6/18/2012 20:55","Convention Center / 7th & M St NW","15th & P St NW","W00343","Registered"
"0h 6m 25s","4/5/2012 16:15","4/5/2012 16:22","18th St & Pennsylvania Ave NW","15th & P St NW","W01368","Registered"
"0h 15m 1s","6/25/2012 17:26","6/25/2012 17:41","10th St & Constitution Ave NW","13th & D St NE","W01144","Registered"
"1h 22m 38s","5/28/2012 13:10","5/28/2012 14:32","Smithsonian / Jefferson Dr & 12th St SW","19th St & Constitution Ave NW","W20020","Casual"
"0h 10m 54s","6/21/2012 17:07","6/21/2012 17:18","19th & East Capitol St SE","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00997","Registered"
"0h 17m 20s","5/2/2012 15:54","5/2/2012 16:12","19th & E Street NW","Columbus Circle / Union Station","W01228","Registered"
"0h 34m 37s","4/7/2012 13:43","4/7/2012 14:17","Maryland & Independence Ave SW","15th & P St NW","W00429","Casual"
"0h 6m 17s","5/8/2012 19:38","5/8/2012 19:44","4th & M St SW","1st & K St SE","W01216","Casual"
"0h 2m 47s","5/30/2012 8:41","5/30/2012 8:43","Eastern Market / 7th & North Carolina Ave SE","3rd & D St SE","W00824","Registered"
"0h 8m 59s","6/18/2012 18:54","6/18/2012 19:03","5th St & K St NW","1st & Rhode Island Ave NW","W00739","Registered"
"0h 9m 26s","4/30/2012 19:21","4/30/2012 19:30","Convention Center / 7th & M St NW","17th & Corcoran St NW","W00249","Registered"
"0h 5m 41s","6/24/2012 19:35","6/24/2012 19:40","Lincoln Park / 13th & East Capitol St NE ","3rd & D St SE","W01341","Registered"
"0h 24m 26s","4/14/2012 22:51","4/14/2012 23:15","21st & M St NW","Lamont & Mt Pleasant NW","W00087","Casual"
"0h 15m 30s","5/9/2012 15:29","5/9/2012 15:45","Massachusetts Ave & Dupont Circle NW","C & O Canal & Wisconsin Ave NW","W00929","Casual"
"0h 4m 0s","4/26/2012 9:03","4/26/2012 9:07","1st & Rhode Island Ave NW","7th & R St NW / Shaw Library","W00156","Registered"
"0h 32m 15s","5/17/2012 20:10","5/17/2012 20:42","Jefferson Dr & 14th St SW","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W00639","Casual"
"0h 19m 34s","5/16/2012 11:57","5/16/2012 12:17","16th & Harvard St NW","13th St & New York Ave NW","W00978","Registered"
"0h 18m 59s","4/16/2012 0:08","4/16/2012 0:27","21st & I St NW","16th & Harvard St NW","W00621","Registered"
"0h 6m 21s","4/1/2012 14:54","4/1/2012 15:00","5th St & K St NW","Metro Center / 12th & G St NW","W00747","Registered"
"0h 4m 24s","4/7/2012 18:50","4/7/2012 18:54","14th & V St NW","14th & Rhode Island Ave NW","W00831","Registered"
"1h 20m 44s","5/20/2012 12:18","5/20/2012 13:39","USDA / 12th & Independence Ave SW","Smithsonian / Jefferson Dr & 12th St SW","W20147","Casual"
"0h 9m 15s","5/31/2012 12:25","5/31/2012 12:34","19th St & Pennsylvania Ave NW","13th St & New York Ave NW","W00591","Casual"
"0h 19m 9s","5/6/2012 16:53","5/6/2012 17:12","Virginia Square Metro / N Monroe St & 9th St N","Clarendon Metro / Wilson Blvd & N Highland St","W00348","Registered"
"0h 10m 46s","6/23/2012 14:14","6/23/2012 14:25","14th & Harvard St NW","Thomas Circle","W01481","Registered"
"0h 6m 48s","4/3/2012 15:59","4/3/2012 16:06","15th & P St NW","15th & P St NW","W01087","Registered"
"0h 2m 58s","5/5/2012 7:53","5/5/2012 7:56","Columbia Rd & Belmont St NW","Calvert St & Woodley Pl NW","W00825","Registered"
