"Duration","Start.date","Start.Station","End.date","End.Station","Bike.","Member.Type"
"0h 12m 6s","2/23/2014 15:42","Jefferson Memorial","2/23/2014 15:54","Lincoln Memorial","W20302","Casual"
"0h 19m 16s","1/9/2014 9:36","24th & N St NW","1/9/2014 9:55","Florida Ave & R St NW","W20121","Registered"
"0h 2m 30s","1/11/2014 18:45","21st & M St NW","1/11/2014 18:47","22nd & I St NW / Foggy Bottom","W20888","Registered"
"0h 3m 46s","1/13/2014 8:47","Arlington Blvd & N Queen St","1/13/2014 8:51","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","W00865","Registered"
"0h 7m 22s","3/6/2014 16:34","3rd & H St NW","3/6/2014 16:41","11th & K St NW","W20748","Registered"
"0h 9m 14s","3/12/2014 15:49","4th & East Capitol St NE","3/12/2014 15:59","North Capitol St & F St NW","W01132","Registered"
"0h 11m 19s","3/14/2014 15:45","3rd & H St NE","3/14/2014 15:57","Eastern Market / 7th & North Carolina Ave SE","W00418","Registered"
"0h 24m 6s","2/10/2014 8:38","Lamont & Mt Pleasant NW","2/10/2014 9:02","North Capitol St & F St NW","W21545","Registered"
"0h 20m 0s","3/12/2014 20:12","14th & G St NW","3/12/2014 20:32","Calvert St & Woodley Pl NW","W01365","Registered"
"0h 9m 20s","2/7/2014 18:21","21st & M St NW","2/7/2014 18:30","14th & Belmont St NW","W00445","Registered"
"0h 14m 7s","1/15/2014 2:51","16th & Harvard St NW","1/15/2014 3:05","23rd & E St NW ","W00617","Registered"
"0h 5m 29s","3/1/2014 23:22","California St & Florida Ave NW","3/1/2014 23:27","14th & Belmont St NW","W20160","Registered"
"0h 10m 2s","3/11/2014 6:25","11th & H St NE","3/11/2014 6:35","11th & H St NE","W21298","Registered"
"0h 5m 7s","2/28/2014 6:30","New Jersey Ave & R St NW","2/28/2014 6:35","5th & K St NW","W00370","Registered"
"0h 6m 52s","1/12/2014 15:30","20th St & Florida Ave NW","1/12/2014 15:37","15th & P St NW","W00652","Registered"
"0h 10m 17s","1/4/2014 16:38","24th & N St NW","1/4/2014 16:48","18th St & Wyoming Ave NW","W21203","Registered"
"0h 45m 9s","3/8/2014 15:48","California St & Florida Ave NW","3/8/2014 16:33","Virginia Square Metro / N Monroe St & 9th St N","W20599","Registered"
"0h 6m 17s","3/12/2014 8:34","Idaho Ave & Newark St NW [on 2nd District patio]","3/12/2014 8:40","Connecticut Ave & Newark St NW / Cleveland Park","W20312","Registered"
"0h 12m 56s","2/16/2014 11:26","3rd & Elm St NW","2/16/2014 11:39","McPherson Square / 14th & H St NW","W20936","Registered"
"0h 4m 52s","2/27/2014 12:19","21st & M St NW","2/27/2014 12:23","M St & Pennsylvania Ave NW","W20489","Registered"
"0h 14m 21s","3/28/2014 16:42","22nd & I St NW / Foggy Bottom","3/28/2014 16:56","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","W00708","Registered"
"0h 36m 7s","3/5/2014 21:59","D St & Maryland Ave NE","3/5/2014 22:35","13th & U St NW","W01265","Casual"
"0h 3m 1s","1/21/2014 9:32","Court House Metro / Wilson Blvd & N Uhle St","1/21/2014 9:35","15th & N Scott St","W00623","Registered"
"0h 34m 35s","1/1/2014 19:42","New York Ave & 15th St NW","1/1/2014 20:17","Jefferson Memorial","W20084","Casual"
"0h 14m 37s","1/24/2014 8:57","13th & U St NW","1/24/2014 9:12","20th & L St NW","W00999","Registered"
"0h 5m 0s","1/31/2014 19:43","Calvert St & Woodley Pl NW","1/31/2014 19:48","18th St & Wyoming Ave NW","W01031","Registered"
"9h 9m 53s","1/31/2014 9:56","Lamont & Mt Pleasant NW","1/31/2014 19:06","37th & O St NW / Georgetown University","W20253","Registered"
"0h 21m 22s","3/8/2014 15:47","Constitution Ave & 2nd St NW/DOL","3/8/2014 16:08","18th St & Pennsylvania Ave NW","W00119","Registered"
"0h 19m 2s","3/16/2014 15:57","New York Ave & 15th St NW","3/16/2014 16:17","Georgetown Harbor / 30th St NW","W21380","Casual"
"0h 5m 13s","1/8/2014 19:10","Thomas Circle","1/8/2014 19:15","Massachusetts Ave & Dupont Circle NW","W20555","Registered"
"0h 4m 12s","3/24/2014 19:30","California St & Florida Ave NW","3/24/2014 19:34","Columbia Rd & Belmont St NW","W20111","Registered"
"0h 6m 27s","1/17/2014 16:12","Thomas Circle","1/17/2014 16:18","New Hampshire Ave & T St NW","W21575","Registered"
"0h 7m 26s","1/26/2014 1:01","14th & V St NW","1/26/2014 1:09","Massachusetts Ave & Dupont Circle NW","W20525","Registered"
"0h 4m 45s","2/11/2014 18:57","11th & H St NE","2/11/2014 19:01","3rd & H St NE","W20554","Registered"
"0h 9m 2s","1/31/2014 14:54","17th & K St NW / Farragut Square","1/31/2014 15:03","3rd & H St NW","W00263","Registered"
"0h 8m 7s","3/6/2014 19:44","Adams Mill & Columbia Rd NW","3/6/2014 19:53","Calvert St & Woodley Pl NW","W20898","Registered"
"0h 10m 45s","3/18/2014 17:55","1st & H St NW","3/18/2014 18:06","Neal St & Trinidad Ave NE","W20013","Registered"
"0h 5m 48s","1/2/2014 8:53","Massachusetts Ave & Dupont Circle NW","1/2/2014 8:58","14th & R St NW","W21068","Registered"
"0h 3m 40s","1/15/2014 21:06","Columbus Circle / Union Station","1/15/2014 21:10","D St & Maryland Ave NE","W00784","Registered"
"0h 7m 22s","3/24/2014 19:06","Columbus Circle / Union Station","3/24/2014 19:14","13th & D St NE","W21492","Registered"
"0h 7m 50s","2/26/2014 14:39","17th & Rhode Island Ave NW","2/26/2014 14:46","New Hampshire Ave & T St NW","W00780","Registered"
"0h 19m 49s","2/2/2014 16:01","17th & K St NW / Farragut Square","2/2/2014 16:21","D St & Maryland Ave NE","W20071","Registered"
"0h 5m 47s","1/20/2014 17:48","7th & T St NW","1/20/2014 17:53","1st & Rhode Island Ave NW","W20762","Registered"
"0h 14m 35s","3/22/2014 15:58","Columbus Circle / Union Station","3/22/2014 16:12","Eastern Market / 7th & North Carolina Ave SE","W20589","Registered"
"0h 5m 10s","3/10/2014 19:29","11th & K St NW","3/10/2014 19:34","3rd & H St NW","W20612","Registered"
"0h 10m 24s","1/8/2014 8:36","36th & Calvert St NW / Glover Park","1/8/2014 8:47","17th & Rhode Island Ave NW","W20677","Registered"
"0h 11m 17s","2/5/2014 8:27","Lamont & Mt Pleasant NW","2/5/2014 8:38","20th & O St NW / Dupont South","W01185","Registered"
"0h 11m 1s","1/2/2014 21:15","US Dept of State / Virginia Ave & 21st St NW","1/2/2014 21:26","Massachusetts Ave & Dupont Circle NW","W00358","Registered"
"0h 27m 5s","1/16/2014 19:39","Massachusetts Ave & Dupont Circle NW","1/16/2014 20:06","3rd St & Pennsylvania Ave SE","W00213","Registered"
"0h 16m 28s","3/21/2014 21:19","14th & R St NW","3/21/2014 21:36","Gallaudet / 8th St & Florida Ave NE","W20959","Registered"
"0h 7m 18s","1/18/2014 12:33","14th & Rhode Island Ave NW","1/18/2014 12:40","7th & R St NW / Shaw Library","W00987","Registered"
"0h 22m 43s","3/21/2014 8:14","14th St & Colorado Ave NW","3/21/2014 8:36","McPherson Square / 14th & H St NW","W01332","Registered"
"0h 14m 57s","3/21/2014 18:20","11th & F St NW","3/21/2014 18:35","7th & T St NW","W20985","Registered"
"0h 12m 30s","1/1/2014 17:16","12th & Newton St NE","1/1/2014 17:28","1st & M St NE","W00895","Registered"
"0h 17m 20s","2/4/2014 10:40","1st & M St NE","2/4/2014 10:58","17th St & Massachusetts Ave NW","W01119","Registered"
"0h 3m 58s","2/10/2014 7:02","15th & P St NW","2/10/2014 7:06","Thomas Circle","W20674","Registered"
"1h 4m 18s","2/25/2014 13:30","10th St & Constitution Ave NW","2/25/2014 14:35","Massachusetts Ave & Dupont Circle NW","W20542","Casual"
"0h 8m 33s","3/15/2014 9:16","15th St & Massachusetts Ave SE","3/15/2014 9:25","3rd & D St SE","W20376","Registered"
"0h 12m 16s","3/14/2014 17:00","13th St & New York Ave NW","3/14/2014 17:12","25th St & Pennsylvania Ave NW","W20760","Registered"
"0h 6m 11s","3/10/2014 22:16","12th & L St NW","3/10/2014 22:22","5th St & Massachusetts Ave NW","W21261","Registered"
"0h 3m 43s","3/11/2014 7:59","8th & H St NW","3/11/2014 8:03","5th & K St NW","W00312","Registered"
"0h 2m 7s","1/17/2014 13:26","4th & D St NW / Judiciary Square","1/17/2014 13:29","6th St & Indiana Ave NW","W01431","Registered"
"0h 6m 37s","2/6/2014 16:31","US Dept of State / Virginia Ave & 21st St NW","2/6/2014 16:37","10th St & Constitution Ave NW","W01320","Registered"
"0h 10m 19s","2/23/2014 15:07","24th & N St NW","2/23/2014 15:18","M St & Pennsylvania Ave NW","W20811","Registered"
"0h 12m 1s","3/9/2014 16:28","California St & Florida Ave NW","3/9/2014 16:40","Thomas Circle","W20916","Casual"
"0h 13m 46s","3/14/2014 9:25","14th St & Spring Rd NW","3/14/2014 9:39","Massachusetts Ave & Dupont Circle NW","W21071","Registered"
"0h 6m 2s","3/29/2014 2:20","7th & R St NW / Shaw Library","3/29/2014 2:26","17th & Corcoran St NW","W01213","Registered"
"0h 12m 1s","1/13/2014 13:59","11th & F St NW","1/13/2014 14:11","21st & M St NW","W20590","Registered"
"0h 5m 43s","3/8/2014 17:06","Wilson Blvd & Franklin Rd","3/8/2014 17:11","Fairfax Dr & Kenmore St","W21018","Registered"
"0h 14m 26s","2/23/2014 9:45","Lincoln Park / 13th & East Capitol St NE ","2/23/2014 10:00","8th & Eye St SE / Barracks Row","W01250","Registered"
"0h 9m 32s","2/26/2014 17:56","11th & M St NW","2/26/2014 18:05","1st & H St NW","W20168","Registered"
"0h 11m 44s","1/12/2014 16:32","Lynn & 19th St North","1/12/2014 16:44","M St & Pennsylvania Ave NW","W20907","Casual"
"0h 19m 32s","1/9/2014 7:33","Idaho Ave & Newark St NW [on 2nd District patio]","1/9/2014 7:53","Adams Mill & Columbia Rd NW","W00870","Registered"
"0h 15m 29s","1/4/2014 15:36","8th & Eye St SE / Barracks Row","1/4/2014 15:52","4th & M St SW","W20723","Registered"
"0h 26m 23s","1/15/2014 22:07","20th & O St NW / Dupont South","1/15/2014 22:33","Columbus Circle / Union Station","W01123","Casual"
"0h 18m 30s","3/23/2014 16:18","Ward Circle / American University","3/23/2014 16:36","20th St & Florida Ave NW","W20804","Registered"
"0h 11m 29s","3/8/2014 13:18","19th & K St NW","3/8/2014 13:29","19th St & Constitution Ave NW","W20398","Registered"
"0h 4m 52s","3/26/2014 14:16","24th & N St NW","3/26/2014 14:21","20th & O St NW / Dupont South","W00821","Registered"
"0h 5m 7s","1/12/2014 12:06","Clarendon Metro / Wilson Blvd & N Highland St","1/12/2014 12:11","N Adams St & Lee Hwy","W00230","Registered"
"0h 5m 42s","3/10/2014 21:30","11th & Kenyon St NW","3/10/2014 21:35","16th & Harvard St NW","W20115","Registered"
"0h 3m 55s","1/14/2014 19:50","Thomas Circle","1/14/2014 19:53","Massachusetts Ave & Dupont Circle NW","W00469","Registered"
"0h 22m 28s","3/29/2014 13:32","17th & Rhode Island Ave NW","3/29/2014 13:55","6th & Water St SW / SW Waterfront","W21081","Registered"
"0h 11m 20s","3/22/2014 11:40","15th & P St NW","3/22/2014 11:51","15th & Euclid St  NW","W00577","Registered"
"0h 14m 0s","3/14/2014 17:03","Calvert St & Woodley Pl NW","3/14/2014 17:17","Georgetown Harbor / 30th St NW","W21185","Registered"
"0h 5m 29s","2/9/2014 13:55","Potomac & Pennsylvania Ave SE","2/9/2014 14:01","15th St & Massachusetts Ave SE","W20532","Registered"
"0h 9m 47s","3/16/2014 14:30","Fairfax Dr & Wilson Blvd","3/16/2014 14:39","Ballston Metro / N Stuart & 9th St N","W00931","Casual"
"0h 15m 59s","1/11/2014 21:54","Hains Point/Buckeye & Ohio Dr SW","1/11/2014 22:10","New York Ave & 15th St NW","W20795","Registered"
"0h 12m 24s","3/23/2014 12:22","Washington & Independence Ave SW/HHS","3/23/2014 12:35","Smithsonian / Jefferson Dr & 12th St SW","W01418","Registered"
"0h 11m 40s","3/15/2014 18:00","1st & K St SE","3/15/2014 18:12","D St & Maryland Ave NE","W21357","Registered"
"0h 6m 10s","3/14/2014 10:48","C & O Canal & Wisconsin Ave NW","3/14/2014 10:54","25th St & Pennsylvania Ave NW","W01048","Registered"
"0h 14m 34s","3/28/2014 15:17","20th & E St NW","3/28/2014 15:32","14th & G St NW","W01311","Casual"
"0h 10m 33s","2/5/2014 6:59","Lynn & 19th St North","2/5/2014 7:10","Georgetown Harbor / 30th St NW","W20555","Registered"
"0h 20m 45s","3/16/2014 10:40","Massachusetts Ave & Dupont Circle NW","3/16/2014 11:01","Park Rd & Holmead Pl NW","W00579","Registered"
"0h 12m 41s","2/20/2014 15:57","1st & M St NE","2/20/2014 16:09","John McCormack Dr & Michigan Ave NE","W21585","Registered"
"0h 3m 25s","1/29/2014 18:12","24th & N St NW","1/29/2014 18:15","M St & Pennsylvania Ave NW","W21459","Registered"
"0h 18m 56s","3/11/2014 6:04","17th & Corcoran St NW","3/11/2014 6:23","1st & Washington Hospital Center NW","W20807","Registered"
"0h 5m 9s","2/3/2014 11:49","3rd & D St SE","2/3/2014 11:54","8th & East Capitol St NE","W21591","Registered"
"0h 9m 47s","1/14/2014 18:42","New Jersey Ave & R St NW","1/14/2014 18:52","14th & Rhode Island Ave NW","W01212","Registered"
"0h 9m 1s","1/8/2014 11:28","15th & P St NW","1/8/2014 11:37","10th & U St NW","W20084","Registered"
"0h 10m 39s","2/6/2014 17:53","19th & L St NW","2/6/2014 18:04","14th & V St NW","W21221","Registered"
"0h 9m 11s","2/7/2014 9:54","16th & Harvard St NW","2/7/2014 10:04","12th & L St NW","W20818","Registered"
"0h 9m 54s","2/7/2014 8:19","3rd & D St SE","2/7/2014 8:29","1st & M St NE","W20698","Registered"
"0h 8m 32s","3/21/2014 15:34","21st & M St NW","3/21/2014 15:43","14th & Rhode Island Ave NW","W20001","Registered"
"0h 14m 13s","3/15/2014 21:51","D St & Maryland Ave NE","3/15/2014 22:05","14th & G St NW","W01194","Registered"
"0h 14m 6s","3/5/2014 8:51","15th & N Scott St","3/5/2014 9:05","Georgetown Harbor / 30th St NW","W00716","Registered"
"0h 4m 52s","2/26/2014 18:36","3rd & Elm St NW","2/26/2014 18:41","7th & R St NW / Shaw Library","W00751","Registered"
"0h 13m 43s","3/31/2014 16:56","17th & K St NW","3/31/2014 17:10","New Jersey Ave & N St NW/Dunbar HS","W00122","Registered"
"0h 5m 41s","1/18/2014 14:14","Eastern Market / 7th & North Carolina Ave SE","1/18/2014 14:19","13th & D St NE","W00484","Registered"
"0h 5m 0s","3/7/2014 11:28","Columbus Circle / Union Station","3/7/2014 11:33","11th & H St NE","W00670","Registered"
"0h 12m 41s","2/19/2014 9:44","Thomas Circle","2/19/2014 9:56","14th & Harvard St NW","W20499","Casual"
"0h 5m 35s","2/8/2014 15:25","Eastern Market Metro / Pennsylvania Ave & 7th St SE","2/8/2014 15:31","M St & New Jersey Ave SE","W00164","Registered"
"0h 5m 40s","1/1/2014 21:28","10th & E St NW","1/1/2014 21:33","5th St & Massachusetts Ave NW","W21155","Registered"
"0h 11m 22s","3/20/2014 20:03","14th & R St NW","3/20/2014 20:15","11th & Kenyon St NW","W00308","Registered"
"0h 8m 5s","3/11/2014 8:13","6th & Water St SW / SW Waterfront","3/11/2014 8:21","19th St & Constitution Ave NW","W01017","Registered"
"0h 10m 21s","3/2/2014 10:17","14th & R St NW","3/2/2014 10:27","M St & Pennsylvania Ave NW","W21377","Registered"
"0h 7m 36s","3/15/2014 20:40","Columbus Circle / Union Station","3/15/2014 20:48","Bladensburg Rd & Benning Rd NE","W01273","Registered"
"0h 46m 18s","2/23/2014 16:19","4th & M St SW","2/23/2014 17:06","5th & K St NW","W00154","Registered"
"0h 10m 40s","1/9/2014 8:08","20th St & Florida Ave NW","1/9/2014 8:19","20th St & Virginia Ave NW","W01044","Registered"
"0h 7m 10s","1/9/2014 15:32","7th & F St NW / National Portrait Gallery","1/9/2014 15:39","New Jersey Ave & N St NW/Dunbar HS","W00414","Registered"
"0h 5m 21s","3/8/2014 9:30","Massachusetts Ave & Dupont Circle NW","3/8/2014 9:36","M St & Pennsylvania Ave NW","W20488","Registered"
"0h 5m 28s","2/7/2014 18:38","14th & R St NW","2/7/2014 18:43","7th & T St NW","W21439","Registered"
"0h 8m 47s","2/20/2014 15:26","24th & N St NW","2/20/2014 15:35","Wisconsin Ave & O St NW","W01479","Registered"
"0h 14m 28s","3/11/2014 15:26","Maryland & Independence Ave SW","3/11/2014 15:41","Jefferson Dr & 14th St SW","W21109","Casual"
"0h 3m 33s","3/17/2014 16:29","14th & Harvard St NW","3/17/2014 16:33","14th & V St NW","W21352","Registered"
"1h 24m 32s","2/18/2014 20:09","1st & M St NE","2/18/2014 21:34","Eckington Pl & Q St NE","W00899","Registered"
"0h 13m 3s","3/1/2014 23:32","Columbia Rd & Georgia Ave NW","3/1/2014 23:45","17th St & Massachusetts Ave NW","W20583","Registered"
"0h 11m 18s","3/20/2014 8:54","12th & L St NW","3/20/2014 9:05","Washington & Independence Ave SW/HHS","W01357","Registered"
"0h 0m 19s","1/6/2014 7:57","15th & K St NW","1/6/2014 7:57","15th & K St NW","W00327","Registered"
"0h 4m 12s","3/20/2014 7:49","1st & M St NE","3/20/2014 7:53","North Capitol St & F St NW","W20259","Registered"
"0h 17m 30s","1/13/2014 12:36","16th & Harvard St NW","1/13/2014 12:53","37th & O St NW / Georgetown University","W00942","Registered"
"0h 3m 38s","1/31/2014 8:12","D St & Maryland Ave NE","1/31/2014 8:16","Columbus Circle / Union Station","W20609","Registered"
"0h 16m 36s","1/27/2014 21:25","17th & Corcoran St NW","1/27/2014 21:42","Georgia & New Hampshire Ave NW","W01050","Registered"
"0h 8m 28s","1/23/2014 10:48","12th & L St NW","1/23/2014 10:57","13th & U St NW","W20918","Registered"
"0h 6m 11s","2/8/2014 17:21","Potomac & Pennsylvania Ave SE","2/8/2014 17:27","8th & East Capitol St NE","W20419","Registered"
"0h 7m 36s","2/13/2014 0:36","14th & V St NW","2/13/2014 0:43","10th & U St NW","W21384","Registered"
"0h 11m 45s","3/22/2014 13:39","14th & Rhode Island Ave NW","3/22/2014 13:51","M St & Pennsylvania Ave NW","W20807","Registered"
"0h 10m 0s","1/29/2014 9:15","Florida Ave & R St NW","1/29/2014 9:25","Thomas Circle","W20537","Registered"
"0h 6m 43s","3/2/2014 12:02","14th & D St SE","3/2/2014 12:08","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00951","Registered"
"0h 3m 48s","2/7/2014 12:33","8th & Eye St SE / Barracks Row","2/7/2014 12:37","Potomac & Pennsylvania Ave SE","W01222","Registered"
"0h 12m 46s","1/14/2014 7:42","New Hampshire Ave & T St NW","1/14/2014 7:55","22nd & I St NW / Foggy Bottom","W21515","Registered"
"0h 22m 1s","3/8/2014 2:51","13th & H St NE","3/8/2014 3:13","Florida Ave & R St NW","W01228","Registered"
"0h 8m 26s","2/11/2014 8:13","Thomas Circle","2/11/2014 8:21","10th St & Constitution Ave NW","W20923","Registered"
"0h 14m 22s","3/9/2014 17:14","Lincoln Memorial","3/9/2014 17:28","C & O Canal & Wisconsin Ave NW","W00047","Casual"
"0h 14m 16s","1/25/2014 11:45","16th & Harvard St NW","1/25/2014 11:59","8th & D St NW","W21537","Registered"
"0h 12m 37s","1/15/2014 20:01","20th St & Florida Ave NW","1/15/2014 20:14","14th & Harvard St NW","W00819","Casual"
"0h 3m 10s","3/9/2014 13:32","Thomas Circle","3/9/2014 13:35","15th & K St NW","W21542","Registered"
"0h 6m 31s","1/4/2014 20:05","12th & L St NW","1/4/2014 20:12","21st & M St NW","W21644","Registered"
"0h 24m 3s","1/12/2014 14:53","Jefferson Memorial","1/12/2014 15:17","Maryland & Independence Ave SW","W20531","Casual"
"0h 3m 49s","3/16/2014 11:19","17th & Corcoran St NW","3/16/2014 11:23","14th & R St NW","W01376","Registered"
"0h 17m 35s","2/4/2014 16:11","18th St & Pennsylvania Ave NW","2/4/2014 16:29","4th & East Capitol St NE","W00805","Registered"
"0h 11m 28s","3/28/2014 9:49","Eastern Market / 7th & North Carolina Ave SE","3/28/2014 10:01","6th St & Indiana Ave NW","W00292","Registered"
"0h 22m 42s","1/13/2014 19:41","17th & K St NW","1/13/2014 20:03","39th & Calvert St NW / Stoddert","W00135","Registered"
"0h 10m 59s","2/8/2014 13:04","3rd & H St NE","2/8/2014 13:15","Lincoln Park / 13th & East Capitol St NE ","W01214","Registered"
"0h 7m 51s","3/5/2014 5:23","D St & Maryland Ave NE","3/5/2014 5:31","3rd & G St SE","W01047","Registered"
"0h 20m 15s","1/4/2014 20:59","12th & Newton St NE","1/4/2014 21:19","11th & K St NW","W21422","Casual"
"0h 11m 25s","2/11/2014 19:02","11th & Kenyon St NW","2/11/2014 19:14","Adams Mill & Columbia Rd NW","W20693","Registered"
"1h 6m 45s","3/15/2014 12:20","Jefferson Dr & 14th St SW","3/15/2014 13:27","Jefferson Dr & 14th St SW","W00982","Casual"
"0h 10m 25s","3/31/2014 18:32","14th & Rhode Island Ave NW","3/31/2014 18:43","14th & V St NW","W20254","Registered"
"0h 6m 33s","3/26/2014 18:47","Lynn & 19th St North","3/26/2014 18:54","M St & Pennsylvania Ave NW","W00099","Registered"
"0h 6m 5s","2/16/2014 14:32","25th St & Pennsylvania Ave NW","2/16/2014 14:38","Wisconsin Ave & O St NW","W21366","Registered"
"0h 7m 38s","3/14/2014 20:15","1st & Rhode Island Ave NW","3/14/2014 20:22","10th & U St NW","W20230","Registered"
"0h 7m 55s","3/27/2014 9:03","19th & E Street NW","3/27/2014 9:11","McPherson Square / 14th & H St NW","W20229","Registered"
"0h 14m 34s","2/22/2014 15:35","Clarendon Blvd & Pierce St","2/22/2014 15:50","Lincoln Memorial","W01336","Registered"
"0h 8m 19s","3/15/2014 11:28","19th & East Capitol St SE","3/15/2014 11:37","8th & East Capitol St NE","W20225","Registered"
"0h 2m 49s","1/20/2014 8:57","King St Metro","1/20/2014 9:00","Commerce St & Fayette St","W01419","Registered"
"0h 3m 17s","2/11/2014 19:17","Columbus Circle / Union Station","2/11/2014 19:21","8th & F St NE","W20822","Registered"
