"Duration","Start.date","End.date","Start.station","End.station","Bike.","Member.Type"
"0h 20min. 34sec.","11/20/2010 8:55","11/20/2010 9:15","Georgia & New Hampshire Ave NW (31400)","14th & Harvard St NW (31105)","W01072","Casual"
"0h 5min. 54sec.","12/3/2010 9:27","12/3/2010 9:32","5th St & K St NW (31600)","North Capitol St & F St NW (31624)","W00386","Registered"
"0h 45min. 28sec.","10/17/2010 16:32","10/17/2010 17:18","16th & Harvard St NW (31103)","Harvard St & Adams Mill Rd NW (31112)","W00546","Casual"
"0h 15min. 5sec.","10/2/2010 18:45","10/2/2010 19:00","Georgia Ave and Fairmont St NW (31207)","McPherson Square - 14th & H St NW (31216)","W00190","Registered"
"2h 6min. 4sec.","12/9/2010 11:48","12/9/2010 13:54","27th & Crystal Dr (31009)","27th & Crystal Dr (31009)","W00552","Registered"
"0h 11min. 51sec.","12/3/2010 1:31","12/3/2010 1:43","17th & Corcoran St NW (31214)","Florida Ave & R St NW (31503)","W00124","Registered"
"3h 22min. 58sec.","10/2/2010 15:16","10/2/2010 18:39","15th & P St NW (31201)","15th & P St NW (31201)","W00492","Casual"
"0h 8min. 7sec.","12/13/2010 17:10","12/13/2010 17:18","20th & E St NW (31204)","25th St & Pennsylvania Ave NW (31237)","W00638","Registered"
"3h 22min. 0sec.","11/14/2010 16:11","11/14/2010 19:33","Massachusetts Ave & Dupont Circle NW (31200)","8th & H St NW (31228)","W01016","Casual"
"0h 11min. 51sec.","10/7/2010 0:22","10/7/2010 0:34","21st & I St NW (31205)","21st & M St NW (31212)","W00042","Registered"
"0h 0min. 16sec.","10/18/2010 18:36","10/18/2010 18:36","26th & Crystal Dr (31012)","26th & Crystal Dr (31012)","W00009","Registered"
"0h 5min. 6sec.","11/17/2010 14:39","11/17/2010 14:44","15th & P St NW (31201)","Massachusetts Ave & Dupont Circle NW (31200)","W00699","Registered"
"0h 4min. 54sec.","11/11/2010 9:50","11/11/2010 9:55","15th & P St NW (31201)","18th & M St NW (31221)","W01036","Registered"
"0h 6min. 54sec.","12/17/2010 21:57","12/17/2010 22:04","16th & Harvard St NW (31103)","17th & Corcoran St NW (31214)","W00193","Registered"
"0h 16min. 59sec.","11/11/2010 12:55","11/11/2010 13:12","Massachusetts Ave & Dupont Circle NW (31200)","Massachusetts Ave & Dupont Circle NW (31200)","W00688","Registered"
"0h 5min. 58sec.","11/9/2010 20:28","11/9/2010 20:34","15th & P St NW (31201)","10th & U St NW (31111)","W00726","Registered"
"0h 5min. 20sec.","12/4/2010 10:54","12/4/2010 10:59","18th & M St NW (31221)","25th St & Pennsylvania Ave NW (31237)","W00040","Registered"
"0h 6min. 38sec.","11/15/2010 20:32","11/15/2010 20:38","5th & F St NW (31620)","Columbus Circle / Union Station (31623)","W00906","Registered"
"1h 8min. 0sec.","9/25/2010 18:43","9/25/2010 19:51","20th & Bell St (31000)","15th & Crystal Dr (31003)","W00554","Casual"
"3h 3min. 30sec.","10/30/2010 13:59","10/30/2010 17:03","Kennedy Center (31211)","Convention Center / 7th & M St NW (31223)","W00331","Casual"
"0h 10min. 15sec.","12/2/2010 11:02","12/2/2010 11:12","21st & I St NW (31205)","17th & K St NW [formerly 17th & L St NW] (31213)","W00219","Registered"
"0h 16min. 14sec.","10/8/2010 20:58","10/8/2010 21:14","Massachusetts Ave & Dupont Circle NW (31200)","Adams Mill & Columbia Rd NW (31104)","W00805","Casual"
"0h 38min. 54sec.","11/7/2010 18:15","11/7/2010 18:54","USDA / 12th & Independence Ave SW (31217)","McPherson Square - 14th & H St NW (31216)","W00195","Casual"
"0h 2min. 26sec.","10/12/2010 19:32","10/12/2010 19:35","15th & Crystal Dr (31003)","20th & Crystal Dr (31002)","W01119","Registered"
"0h 30min. 31sec.","12/17/2010 23:30","12/18/2010 0:00","14th & Harvard St NW (31105)","Massachusetts Ave & Dupont Circle NW (31200)","W00381","Registered"
"0h 26min. 54sec.","10/24/2010 11:41","10/24/2010 12:08","M St & New Jersey Ave SE (31208)","M St & New Jersey Ave SE (31208)","W00280","Casual"
"0h 11min. 16sec.","11/30/2010 9:07","11/30/2010 9:18","14th & Harvard St NW (31105)","17th & Corcoran St NW (31214)","W00754","Registered"
"0h 7min. 13sec.","10/3/2010 9:24","10/3/2010 9:32","Park Rd & Holmead Pl NW (31602)","14th & Rhode Island Ave NW (31203)","W00437","Registered"
"3h 15min. 42sec.","10/31/2010 10:58","10/31/2010 14:14","7th & Water St SW / SW Waterfront (31609)","7th & Water St SW / SW Waterfront (31609)","W00359","Casual"
"0h 6min. 26sec.","11/25/2010 9:15","11/25/2010 9:21","19th St & Constitution Ave NW (31235)","17th & K St NW [formerly 17th & L St NW] (31213)","W00082","Registered"
"0h 2min. 12sec.","12/9/2010 20:56","12/9/2010 20:59","14th & G St NW (31238)","New York Ave & 15th St NW (31222)","W00977","Registered"
"0h 10min. 6sec.","11/19/2010 7:04","11/19/2010 7:15","Massachusetts Ave & Dupont Circle NW (31200)","McPherson Square - 14th & H St NW (31216)","W00087","Casual"
"0h 12min. 36sec.","12/2/2010 18:35","12/2/2010 18:48","5th St & K St NW (31600)","14th & R St NW (31202)","W00925","Registered"
"0h 11min. 27sec.","12/7/2010 18:07","12/7/2010 18:19","15th & P St NW (31201)","8th & H St NW (31228)","W00124","Registered"
"0h 9min. 26sec.","12/16/2010 0:23","12/16/2010 0:33","Calvert St & Woodley Pl NW (31106)","Lamont & Mt Pleasant NW (31107)","W00134","Registered"
"2h 29min. 2sec.","12/29/2010 20:31","12/29/2010 23:00","16th & Harvard St NW (31103)","16th & Harvard St NW (31103)","W00713","Casual"
"0h 1min. 2sec.","10/31/2010 14:08","10/31/2010 14:09","4th & M St SW (31108)","4th & M St SW (31108)","W00959","Registered"
"0h 46min. 49sec.","11/3/2010 20:29","11/3/2010 21:16","Georgia & New Hampshire Ave NW (31400)","Georgia & New Hampshire Ave NW (31400)","W00664","Casual"
"0h 4min. 2sec.","12/23/2010 0:10","12/23/2010 0:14","Park Rd & Holmead Pl NW (31602)","16th & Harvard St NW (31103)","W00476","Registered"
"0h 9min. 13sec.","11/3/2010 8:53","11/3/2010 9:02","Lamont & Mt Pleasant NW (31107)","10th & U St NW (31111)","W01012","Registered"
"0h 3min. 15sec.","11/29/2010 14:37","11/29/2010 14:40","5th St & K St NW (31600)","8th & H St NW (31228)","W00855","Registered"
"0h 2min. 51sec.","10/28/2010 12:05","10/28/2010 12:08","27th & Crystal Dr (31009)","S Glebe & Potomac Ave (31010)","W00840","Registered"
"0h 15min. 41sec.","11/8/2010 17:35","11/8/2010 17:51","US Dept of State / Virginia Ave & 21st St NW (31220)","20th St & Florida Ave NW (31110)","W01006","Registered"
"0h 21min. 13sec.","11/22/2010 14:24","11/22/2010 14:45","S Joyce & Army Navy Dr (31006)","21st & I St NW (31205)","W00547","Registered"
"0h 3min. 39sec.","12/8/2010 14:52","12/8/2010 14:55","14th & Rhode Island Ave NW (31203)","17th & Corcoran St NW (31214)","W00878","Registered"
"0h 0min. 5sec.","11/14/2010 17:05","11/14/2010 17:05","3rd & H St NE (31616)","3rd & H St NE (31616)","W00066","Registered"
"0h 2min. 25sec.","12/22/2010 19:29","12/22/2010 19:31","Massachusetts Ave & Dupont Circle NW (31200)","17th & Corcoran St NW (31214)","W00805","Registered"
"0h 3min. 16sec.","12/29/2010 22:59","12/29/2010 23:02","15th & P St NW (31201)","17th & Corcoran St NW (31214)","W00929","Registered"
"1h 24min. 49sec.","11/25/2010 14:44","11/25/2010 16:09","10th St & Constitution Ave NW (31219)","Massachusetts Ave & Dupont Circle NW (31200)","W00916","Casual"
"0h 15min. 37sec.","11/10/2010 16:44","11/10/2010 16:59","M St & New Jersey Ave SE (31208)","USDA / 12th & Independence Ave SW (31217)","W00502","Registered"
"0h 13min. 12sec.","11/1/2010 9:40","11/1/2010 9:53","Adams Mill & Columbia Rd NW (31104)","13th St & New York Ave NW (31227)","W00523","Registered"
"1h 37min. 54sec.","11/6/2010 15:13","11/6/2010 16:51","Massachusetts Ave & Dupont Circle NW (31200)","C & O Canal & Wisconsin Ave NW (31225)","W01048","Casual"
"0h 27min. 47sec.","10/23/2010 19:11","10/23/2010 19:39","Eckington Pl & Q St NE (31505)","Adams Mill & Columbia Rd NW (31104)","W00943","Registered"
"0h 6min. 12sec.","12/11/2010 12:25","12/11/2010 12:31","14th & V St NW (31101)","14th & Rhode Island Ave NW (31203)","W00232","Registered"
"0h 4min. 46sec.","11/21/2010 0:22","11/21/2010 0:27","Connecticut Ave & Newark St NW / Cleveland Park (31305)","Calvert St & Woodley Pl NW (31106)","W00445","Registered"
"0h 15min. 14sec.","11/5/2010 0:40","11/5/2010 0:55","Massachusetts Ave & Dupont Circle NW (31200)","14th & Harvard St NW (31105)","W00622","Registered"
"0h 18min. 7sec.","10/31/2010 0:55","10/31/2010 1:13","Massachusetts Ave & Dupont Circle NW (31200)","Harvard St & Adams Mill Rd NW (31112)","W00687","Registered"
"0h 15min. 58sec.","11/12/2010 7:48","11/12/2010 8:04","11th & Kenyon St NW (31102)","13th St & New York Ave NW (31227)","W01039","Registered"
"0h 7min. 45sec.","11/17/2010 8:52","11/17/2010 9:00","15th & P St NW (31201)","New York Ave & 15th St NW (31222)","W00620","Registered"
"0h 21min. 37sec.","12/20/2010 8:28","12/20/2010 8:50","Park Rd & Holmead Pl NW (31602)","21st & I St NW (31205)","W01031","Registered"
"0h 14min. 24sec.","11/23/2010 17:12","11/23/2010 17:26","34th St & Wisconsin Ave NW (31226)","Massachusetts Ave & Dupont Circle NW (31200)","W00051","Registered"
"0h 5min. 33sec.","10/26/2010 18:01","10/26/2010 18:06","8th & Eye St SE / Barracks Row (31608)","M St & New Jersey Ave SE (31208)","W00907","Casual"
"0h 6min. 18sec.","12/1/2010 18:44","12/1/2010 18:50","16th & Harvard St NW (31103)","15th & P St NW (31201)","W00824","Registered"
"2h 14min. 23sec.","11/3/2010 10:55","11/3/2010 13:09","USDA / 12th & Independence Ave SW (31217)","USDA / 12th & Independence Ave SW (31217)","W00827","Casual"
"0h 8min. 51sec.","11/26/2010 2:06","11/26/2010 2:15","17th & Corcoran St NW (31214)","Convention Center / 7th & M St NW (31223)","W00768","Registered"
"0h 3min. 8sec.","11/21/2010 19:44","11/21/2010 19:47","15th & P St NW (31201)","17th & Corcoran St NW (31214)","W00163","Registered"
"0h 3min. 48sec.","9/25/2010 19:18","9/25/2010 19:22","17th & Corcoran St NW (31214)","Massachusetts Ave & Dupont Circle NW (31200)","W00400","Registered"
"0h 30min. 31sec.","10/15/2010 8:23","10/15/2010 8:54","3rd & D St SE (31605)","18th & M St NW (31221)","W00084","Registered"
"0h 8min. 46sec.","11/3/2010 17:35","11/3/2010 17:44","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","M St & New Jersey Ave SE (31208)","W00656","Registered"
"0h 4min. 58sec.","11/3/2010 21:40","11/3/2010 21:45","25th St & Pennsylvania Ave NW (31237)","21st & I St NW (31205)","W00780","Registered"
"0h 17min. 52sec.","11/15/2010 18:11","11/15/2010 18:29","13th St & New York Ave NW (31227)","M St & New Jersey Ave SE (31208)","W00048","Registered"
"0h 3min. 48sec.","12/3/2010 18:56","12/3/2010 19:00","5th & F St NW (31620)","5th St & K St NW (31600)","W00705","Registered"
"0h 9min. 7sec.","11/21/2010 18:29","11/21/2010 18:39","Ward Circle / American University (31301)","Tenleytown / Wisconsin Ave & Albemarle St NW (31303)","W00524","Casual"
"0h 49min. 0sec.","10/23/2010 17:00","10/23/2010 17:49","5th & F St NW (31620)","C & O Canal & Wisconsin Ave NW (31225)","W00736","Casual"
"0h 4min. 20sec.","12/10/2010 19:47","12/10/2010 19:51","Adams Mill & Columbia Rd NW (31104)","20th St & Florida Ave NW (31110)","W00785","Registered"
"0h 8min. 5sec.","12/8/2010 15:24","12/8/2010 15:32","25th St & Pennsylvania Ave NW (31237)","13th St & New York Ave NW (31227)","W00073","Registered"
"0h 9min. 17sec.","11/4/2010 8:41","11/4/2010 8:50","11th & Kenyon St NW (31102)","Calvert St & Woodley Pl NW (31106)","W00481","Casual"
"0h 15min. 14sec.","12/31/2010 18:52","12/31/2010 19:07","Lincoln Park / 13th & East Capitol St NE  (31619)","5th & F St NW (31620)","W00215","Registered"
"0h 8min. 44sec.","11/18/2010 18:44","11/18/2010 18:53","New York Ave & 15th St NW (31222)","18th & M St NW (31221)","w01117","Registered"
"0h 22min. 26sec.","11/18/2010 12:05","11/18/2010 12:27","Lamont & Mt Pleasant NW (31107)","John McCormack Dr & Michigan Ave NE (31502)","W00019","Registered"
"1h 22min. 2sec.","10/19/2010 21:10","10/19/2010 22:32","New York Ave & 15th St NW (31222)","New York Ave & 15th St NW (31222)","W00387","Casual"
"0h 10min. 16sec.","10/8/2010 13:03","10/8/2010 13:13","14th & Harvard St NW (31105)","Adams Mill & Columbia Rd NW (31104)","W00176","Registered"
"0h 3min. 29sec.","11/1/2010 7:30","11/1/2010 7:34","14th & Rhode Island Ave NW (31203)","McPherson Square - 14th & H St NW (31216)","W00524","Registered"
"0h 5min. 34sec.","11/28/2010 11:21","11/28/2010 11:26","Florida Ave & R St NW (31503)","10th & U St NW (31111)","W00550","Registered"
"0h 18min. 39sec.","11/17/2010 15:38","11/17/2010 15:56","37th & O St NW / Georgetown University (31236)","14th & Harvard St NW (31105)","W00153","Registered"
"0h 15min. 11sec.","10/24/2010 14:15","10/24/2010 14:30","20th & Crystal Dr (31002)","20th & Crystal Dr (31002)","W00878","Registered"
"0h 5min. 32sec.","12/5/2010 17:10","12/5/2010 17:16","Harvard St & Adams Mill Rd NW (31112)","Adams Mill & Columbia Rd NW (31104)","? (0x7C120F6A)","Registered"
"0h 7min. 38sec.","12/20/2010 12:27","12/20/2010 12:35","17th & K St NW [formerly 17th & L St NW] (31213)","17th & Corcoran St NW (31214)","W00864","Registered"
"0h 16min. 35sec.","11/3/2010 17:26","11/3/2010 17:43","Ward Circle / American University (31301)","Wisconsin Ave & Macomb St NW (31302)","W00736","Registered"
"0h 9min. 10sec.","12/10/2010 9:17","12/10/2010 9:27","Park Rd & Holmead Pl NW (31602)","14th & Rhode Island Ave NW (31203)","W00584","Registered"
"1h 55min. 45sec.","11/5/2010 13:23","11/5/2010 15:19","US Dept of State / Virginia Ave & 21st St NW (31220)","5th & F St NW (31620)","W00714","Casual"
"0h 34min. 3sec.","11/5/2010 15:43","11/5/2010 16:17","USDA / 12th & Independence Ave SW (31217)","USDA / 12th & Independence Ave SW (31217)","W00142","Casual"
"1h 47min. 0sec.","12/11/2010 17:13","12/11/2010 19:00","4th & M St SW (31108)","C & O Canal & Wisconsin Ave NW (31225)","W00102","Casual"
"0h 7min. 39sec.","12/16/2010 17:16","12/16/2010 17:23","19th & E Street NW (31206)","17th & K St NW [formerly 17th & L St NW] (31213)","? (0x9A5FEA16)","Registered"
"0h 13min. 12sec.","12/15/2010 18:20","12/15/2010 18:33","Lamont & Mt Pleasant NW (31107)","16th & U St NW (31229)","W00476","Registered"
"0h 4min. 35sec.","11/28/2010 8:42","11/28/2010 8:46","15th & P St NW (31201)","16th & U St NW (31229)","W00990","Registered"
"0h 5min. 9sec.","11/8/2010 16:56","11/8/2010 17:01","M St & New Jersey Ave SE (31208)","8th & Eye St SE / Barracks Row (31608)","W01067","Registered"
"0h 2min. 54sec.","11/1/2010 21:24","11/1/2010 21:27","20th & Bell St (31000)","23rd & Crystal Dr (31011)","W00879","Registered"
"0h 13min. 49sec.","10/29/2010 11:49","10/29/2010 12:02","37th & O St NW / Georgetown University (31236)","New York Ave & 15th St NW (31222)","W00996","Casual"
"0h 17min. 3sec.","10/16/2010 17:24","10/16/2010 17:41","5th & F St NW (31620)","14th & V St NW (31101)","W01010","Casual"
"0h 15min. 38sec.","10/24/2010 18:39","10/24/2010 18:54","14th & R St NW (31202)","10th & U St NW (31111)","W00986","Registered"
"0h 3min. 58sec.","12/15/2010 22:17","12/15/2010 22:21","Calvert St & Woodley Pl NW (31106)","Adams Mill & Columbia Rd NW (31104)","W00256","Registered"
"0h 11min. 47sec.","10/29/2010 20:59","10/29/2010 21:11","8th & H St NW (31228)","14th & R St NW (31202)","W00783","Registered"
"0h 3min. 39sec.","12/31/2010 20:09","12/31/2010 20:13","14th St & Spring Rd NW (31401)","Park Rd & Holmead Pl NW (31602)","W00579","Registered"
"0h 17min. 26sec.","10/19/2010 9:37","10/19/2010 9:55","10th & U St NW (31111)","21st & I St NW (31205)","W00968","Registered"
"0h 25min. 1sec.","10/7/2010 8:13","10/7/2010 8:38","Lamont & Mt Pleasant NW (31107)","4th St & Massachusetts Ave NW (31604)","W01091","Casual"
"0h 8min. 37sec.","10/18/2010 9:12","10/18/2010 9:20","14th & Harvard St NW (31105)","17th & Corcoran St NW (31214)","W00994","Registered"
"0h 8min. 42sec.","11/4/2010 8:15","11/4/2010 8:24","Adams Mill & Columbia Rd NW (31104)","14th & V St NW (31101)","W00736","Registered"
"0h 13min. 48sec.","10/31/2010 12:44","10/31/2010 12:58","Park Rd & Holmead Pl NW (31602)","Adams Mill & Columbia Rd NW (31104)","W00822","Casual"
"0h 13min. 55sec.","10/23/2010 22:55","10/23/2010 23:09","17th & K St NW [formerly 17th & L St NW] (31213)","16th & Harvard St NW (31103)","W00861","Registered"
"1h 47min. 37sec.","11/14/2010 12:45","11/14/2010 14:33","Lincoln Park / 13th & East Capitol St NE  (31619)","Adams Mill & Columbia Rd NW (31104)","W01039","Registered"
"6h 51min. 14sec.","11/13/2010 10:21","11/13/2010 17:13","10th St & Constitution Ave NW (31219)","10th St & Constitution Ave NW (31219)","W00861","Casual"
"0h 6min. 27sec.","12/18/2010 13:40","12/18/2010 13:47","21st & M St NW (31212)","15th & P St NW (31201)","W00487","Registered"
"0h 8min. 43sec.","10/2/2010 18:59","10/2/2010 19:08","14th & V St NW (31101)","15th & P St NW (31201)","W00736","Casual"
"0h 6min. 22sec.","11/11/2010 8:18","11/11/2010 8:25","13th & H St NE (31611)","Columbus Circle / Union Station (31623)","W01063","Casual"
"0h 38min. 40sec.","11/29/2010 10:29","11/29/2010 11:07","Adams Mill & Columbia Rd NW (31104)","Lincoln Park / 13th & East Capitol St NE  (31619)","W00190","Registered"
"0h 16min. 35sec.","11/16/2010 20:27","11/16/2010 20:44","Massachusetts Ave & Dupont Circle NW (31200)","Florida Ave & R St NW (31503)","W00612","Registered"
"0h 0min. 48sec.","12/1/2010 18:43","12/1/2010 18:44","16th & Harvard St NW (31103)","16th & Harvard St NW (31103)","W00415","Registered"
"0h 13min. 8sec.","10/29/2010 8:36","10/29/2010 8:50","Eckington Pl & Q St NE (31505)","L'Enfant Plaza / 7th & C St SW (31218)","W00606","Registered"
"0h 14min. 2sec.","11/12/2010 8:14","11/12/2010 8:28","14th & Harvard St NW (31105)","21st & M St NW (31212)","W00525","Registered"
"0h 10min. 24sec.","12/11/2010 12:46","12/11/2010 12:56","Lincoln Park / 13th & East Capitol St NE  (31619)","Columbus Circle / Union Station (31623)","W00916","Casual"
"0h 8min. 44sec.","12/8/2010 8:00","12/8/2010 8:08","17th & Corcoran St NW (31214)","21st & I St NW (31205)","W00106","Registered"
"0h 5min. 52sec.","11/3/2010 8:36","11/3/2010 8:42","21st & M St NW (31212)","US Dept of State / Virginia Ave & 21st St NW (31220)","W00712","Registered"
"0h 11min. 11sec.","11/2/2010 11:49","11/2/2010 12:00","Florida Ave & R St NW (31503)","Park Rd & Holmead Pl NW (31602)","W00451","Registered"
"0h 6min. 19sec.","10/22/2010 8:09","10/22/2010 8:16","4th St & Massachusetts Ave NW (31604)","13th St & New York Ave NW (31227)","W00638","Registered"
"0h 9min. 21sec.","10/24/2010 20:14","10/24/2010 20:23","14th & R St NW (31202)","20th St & Florida Ave NW (31110)","W00747","Registered"
"0h 5min. 29sec.","12/2/2010 17:13","12/2/2010 17:19","8th & Eye St SE / Barracks Row (31608)","Eastern Market / 7th & North Carolina Ave SE (31610)","W00143","Registered"
"0h 59min. 57sec.","10/6/2010 12:24","10/6/2010 13:24","19th & E Street NW (31206)","5th St & K St NW (31600)","W00771","Casual"
"0h 20min. 32sec.","10/24/2010 16:48","10/24/2010 17:09","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","14th & Rhode Island Ave NW (31203)","W00448","Registered"
"0h 0min. 6sec.","11/8/2010 17:15","11/8/2010 17:15","19th & L St NW (31224)","19th & L St NW (31224)","W00860","Registered"
"0h 15min. 16sec.","11/24/2010 21:09","11/24/2010 21:24","14th & G St NW (31238)","4th & M St SW (31108)","W00662","Registered"
"0h 12min. 20sec.","11/27/2010 19:40","11/27/2010 19:52","5th St & K St NW (31600)","16th & U St NW (31229)","W00543","Registered"
"0h 16min. 38sec.","12/6/2010 19:41","12/6/2010 19:57","Florida Ave & R St NW (31503)","25th St & Pennsylvania Ave NW (31237)","W00844","Registered"
"0h 8min. 8sec.","11/18/2010 8:28","11/18/2010 8:36","Adams Mill & Columbia Rd NW (31104)","17th & Corcoran St NW (31214)","W00127","Registered"
"0h 10min. 29sec.","11/30/2010 14:11","11/30/2010 14:21","North Capitol St & F St NW (31624)","Eastern Market / 7th & North Carolina Ave SE (31610)","W00117","Registered"
"0h 4min. 41sec.","10/24/2010 17:33","10/24/2010 17:38","16th & Harvard St NW (31103)","Park Rd & Holmead Pl NW (31602)","W00080","Registered"
"0h 9min. 23sec.","12/2/2010 1:01","12/2/2010 1:11","4th St & Massachusetts Ave NW (31604)","14th & Rhode Island Ave NW (31203)","W00564","Registered"
"0h 9min. 59sec.","11/22/2010 16:55","11/22/2010 17:05","14th & V St NW (31101)","11th & Kenyon St NW (31102)","W00365","Registered"
"0h 6min. 17sec.","12/20/2010 12:05","12/20/2010 12:12","20th St & Florida Ave NW (31110)","18th & M St NW (31221)","w00223","Registered"
"0h 4min. 28sec.","10/8/2010 8:10","10/8/2010 8:14","17th & Corcoran St NW (31214)","17th & K St NW [formerly 17th & L St NW] (31213)","W01102","Registered"
"0h 2min. 38sec.","12/3/2010 12:17","12/3/2010 12:19","Adams Mill & Columbia Rd NW (31104)","Calvert St & Woodley Pl NW (31106)","W00120","Registered"
"0h 6min. 51sec.","10/28/2010 18:40","10/28/2010 18:47","14th & Harvard St NW (31105)","14th & V St NW (31101)","W00256","Registered"
"0h 2min. 41sec.","11/22/2010 10:59","11/22/2010 11:02","16th & Harvard St NW (31103)","Adams Mill & Columbia Rd NW (31104)","W00111","Registered"
"0h 11min. 42sec.","10/11/2010 1:01","10/11/2010 1:12","14th & V St NW (31101)","Lamont & Mt Pleasant NW (31107)","W01075","Registered"
"0h 9min. 44sec.","12/13/2010 8:16","12/13/2010 8:26","14th & R St NW (31202)","21st & M St NW (31212)","W00145","Registered"
"0h 16min. 10sec.","11/3/2010 13:18","11/3/2010 13:35","New York Ave & 15th St NW (31222)","5th & F St NW (31620)","W00807","Registered"
"0h 25min. 47sec.","11/11/2010 12:02","11/11/2010 12:28","13th & D St NE (31622)","5th St & K St NW (31600)","W00570","Registered"
"0h 10min. 23sec.","11/13/2010 17:06","11/13/2010 17:17","17th & Corcoran St NW (31214)","14th & Harvard St NW (31105)","W00922","Registered"
"0h 9min. 20sec.","10/25/2010 9:05","10/25/2010 9:14","14th & V St NW (31101)","17th & K St NW [formerly 17th & L St NW] (31213)","W00543","Registered"
"1h 32min. 27sec.","11/28/2010 12:42","11/28/2010 14:14","New York Ave & 15th St NW (31222)","New York Ave & 15th St NW (31222)","W00803","Casual"
"0h 4min. 32sec.","11/12/2010 22:22","11/12/2010 22:26","14th St & Spring Rd NW (31401)","14th St Heights / 14th & Crittenden St NW (31402)","W00302","Registered"
"0h 3min. 3sec.","11/10/2010 15:05","11/10/2010 15:08","19th & E Street NW (31206)","21st & I St NW (31205)","W00982","Registered"
"0h 4min. 31sec.","11/2/2010 8:56","11/2/2010 9:01","18th & Hayes St (31004)","15th & Crystal Dr (31003)","W00993","Registered"
"0h 12min. 27sec.","12/6/2010 9:28","12/6/2010 9:41","15th & P St NW (31201)","C & O Canal & Wisconsin Ave NW (31225)","W00543","Registered"
"0h 15min. 29sec.","11/12/2010 8:33","11/12/2010 8:49","8th & Eye St SE / Barracks Row (31608)","4th St & Massachusetts Ave NW (31604)","W00138","Registered"
"0h 22min. 3sec.","11/2/2010 16:04","11/2/2010 16:26","5th & F St NW (31620)","John McCormack Dr & Michigan Ave NE (31502)","W01013","Registered"
"0h 8min. 9sec.","11/18/2010 1:50","11/18/2010 1:58","21st & I St NW (31205)","16th & U St NW (31229)","W00209","Registered"
"0h 5min. 41sec.","10/27/2010 20:59","10/27/2010 21:04","North Capitol St & F St NW (31624)","1st & M St NE (31603)","W00976","Registered"
"0h 5min. 59sec.","12/24/2010 9:23","12/24/2010 9:29","14th & R St NW (31202)","Massachusetts Ave & Dupont Circle NW (31200)","W00714","Registered"
"0h 16min. 11sec.","11/7/2010 12:36","11/7/2010 12:53","3rd & H St NE (31616)","8th & Eye St SE / Barracks Row (31608)","W00385","Registered"
"0h 0min. 10sec.","12/22/2010 17:02","12/22/2010 17:03","18th & Bell St (31007)","18th & Bell St (31007)","W00951","Registered"
"0h 7min. 47sec.","11/2/2010 19:45","11/2/2010 19:53","19th St & Pennsylvania Ave NW (31100)","Convention Center / 7th & M St NW (31223)","W00069","Registered"
