"Duration","Start.date","End.date","Start.station","End.station","Bike.","Member.Type"
"0h 12min. 21sec.","5/10/2011 22:10","5/10/2011 22:23","7th & F St NW / National Portrait Gallery (31232)","10th & U St NW (31111)","W00074","Casual"
"0h 7min. 23sec.","5/26/2011 9:40","5/26/2011 9:47","Georgia Ave and Fairmont St NW (31207)","14th & V St NW (31101)","W00240","Registered"
"1h 43min. 24sec.","6/10/2011 8:01","6/10/2011 9:45","Georgetown Harbor / 30th St NW (31215)","Rosslyn Metro / Wilson Blvd & Ft Myer Dr (31015)","W00034","Casual"
"0h 4min. 23sec.","5/14/2011 14:07","5/14/2011 14:11","14th & V St NW (31101)","17th & Corcoran St NW (31214)","w01100","Registered"
"0h 19min. 38sec.","4/6/2011 8:40","4/6/2011 9:00","11th & Kenyon St NW (31102)","North Capitol St & F St NW (31624)","W01039","Registered"
"0h 21min. 11sec.","6/6/2011 6:49","6/6/2011 7:10","10th & U St NW (31111)","4th & East Capitol St NE (31618)","W00717","Casual"
"0h 9min. 1sec.","6/30/2011 19:34","6/30/2011 19:43","Adams Mill & Columbia Rd NW (31104)","Connecticut Ave & Newark St NW / Cleveland Park (31305)","W00045","Registered"
"0h 2min. 4sec.","5/19/2011 19:32","5/19/2011 19:34","C & O Canal & Wisconsin Ave NW (31225)","Georgetown Harbor / 30th St NW (31215)","W00283","Registered"
"0h 8min. 7sec.","6/18/2011 18:27","6/18/2011 18:35","Potomac & Pennsylvania Ave SE (31606)","M St & New Jersey Ave SE (31208)","W00719","Registered"
"0h 9min. 44sec.","4/15/2011 17:21","4/15/2011 17:31","13th St & New York Ave NW (31227)","1st & M St NE (31603)","W00259","Registered"
"0h 15min. 1sec.","4/2/2011 15:26","4/2/2011 15:41","USDA / 12th & Independence Ave SW (31217)","New York Ave & 15th St NW (31222)","W00724","Registered"
"0h 4min. 48sec.","4/28/2011 8:49","4/28/2011 8:54","14th & Harvard St NW (31105)","Georgia Ave and Fairmont St NW (31207)","W00606","Registered"
"0h 12min. 39sec.","6/8/2011 16:50","6/8/2011 17:03","17th & K St NW / Farragut Square (31233)","Columbus Circle / Union Station (31623)","W00402","Registered"
"0h 3min. 36sec.","6/2/2011 19:20","6/2/2011 19:24","Convention Center / 7th & M St NW (31223)","5th St & K St NW (31600)","W01108","Registered"
"0h 16min. 47sec.","6/22/2011 12:22","6/22/2011 12:39","11th & Kenyon St NW (31102)","Calvert St & Woodley Pl NW (31106)","W00549","Registered"
"0h 0min. 17sec.","6/28/2011 22:13","6/28/2011 22:13","Wisconsin Ave & Macomb St NW (31302)","Wisconsin Ave & Macomb St NW (31302)","W00075","Registered"
"0h 18min. 20sec.","5/19/2011 16:52","5/19/2011 17:10","19th St & Pennsylvania Ave NW (31100)","Eastern Market / 7th & North Carolina Ave SE (31610)","W00200","Registered"
"0h 18min. 15sec.","5/8/2011 15:26","5/8/2011 15:45","Massachusetts Ave & Dupont Circle NW (31200)","C & O Canal & Wisconsin Ave NW (31225)","W00993","Casual"
"0h 14min. 45sec.","4/22/2011 8:42","4/22/2011 8:56","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","14th & G St NW (31238)","W00602","Registered"
"0h 16min. 43sec.","5/31/2011 20:06","5/31/2011 20:23","Massachusetts Ave & Dupont Circle NW (31200)","Massachusetts Ave & Dupont Circle NW (31200)","W00790","Casual"
"0h 11min. 17sec.","5/13/2011 18:39","5/13/2011 18:51","10th & U St NW (31111)","Florida Ave & R St NW (31503)","W00494","Casual"
"0h 18min. 35sec.","5/15/2011 15:24","5/15/2011 15:42","8th & H St NW (31228)","8th & Eye St SE / Barracks Row (31608)","W00916","Registered"
"0h 11min. 22sec.","6/28/2011 16:37","6/28/2011 16:48","3rd & H St NE (31616)","Florida Ave & R St NW (31503)","W00148","Registered"
"0h 34min. 13sec.","5/15/2011 15:13","5/15/2011 15:47","19th & L St NW (31224)","19th St & Constitution Ave NW (31235)","W00878","Registered"
"1h 19min. 6sec.","5/7/2011 16:40","5/7/2011 17:59","7th & F St NW / National Portrait Gallery (31232)","7th & F St NW / National Portrait Gallery (31232)","W00836","Casual"
"0h 16min. 56sec.","5/11/2011 8:35","5/11/2011 8:52","C & O Canal & Wisconsin Ave NW (31225)","19th St & Pennsylvania Ave NW (31100)","W00783","Registered"
"0h 23min. 51sec.","6/8/2011 19:04","6/8/2011 19:28","4th & M St SW (31108)","4th & M St SW (31108)","W00225","Registered"
"0h 10min. 46sec.","6/20/2011 17:48","6/20/2011 17:59","17th & K St NW / Farragut Square (31233)","16th & U St NW (31229)","W00261","Registered"
"0h 13min. 34sec.","5/25/2011 18:23","5/25/2011 18:37","Metro Center / 12th & G St NW (31230)","1st & M St NE (31603)","W00601","Registered"
"0h 26min. 33sec.","4/25/2011 18:48","4/25/2011 19:15","15th & P St NW (31201)","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","W00145","Registered"
"0h 17min. 13sec.","5/28/2011 19:43","5/28/2011 20:01","Massachusetts Ave & Dupont Circle NW (31200)","5th St & K St NW (31600)","W00971","Registered"
"0h 8min. 42sec.","4/20/2011 16:32","4/20/2011 16:41","C & O Canal & Wisconsin Ave NW (31225)","Lynn & 19th St North (31014)","W01050","Registered"
"0h 24min. 1sec.","5/11/2011 11:15","5/11/2011 11:39","New York Ave & 15th St NW (31222)","25th St & Pennsylvania Ave NW (31237)","W00075","Casual"
"0h 26min. 15sec.","5/19/2011 9:26","5/19/2011 9:53","Calvert St & Woodley Pl NW (31106)","Metro Center / 12th & G St NW (31230)","W00048","Registered"
"0h 26min. 19sec.","4/15/2011 17:59","4/15/2011 18:26","3rd & D St SE (31605)","Georgia & New Hampshire Ave NW (31400)","W00825","Registered"
"0h 22min. 47sec.","5/22/2011 17:13","5/22/2011 17:36","4th & East Capitol St NE (31618)","7th & T St NW (31109)","W01022","Registered"
"0h 3min. 27sec.","6/8/2011 19:12","6/8/2011 19:16","Calvert St & Woodley Pl NW (31106)","Adams Mill & Columbia Rd NW (31104)","W00966","Registered"
"0h 14min. 0sec.","6/4/2011 9:23","6/4/2011 9:37","10th & U St NW (31111)","7th & T St NW (31109)","W00936","Registered"
"0h 29min. 48sec.","5/4/2011 17:52","5/4/2011 18:22","14th & Rhode Island Ave NW (31203)","Van Ness Metro / UDC (31300)","W00923","Casual"
"0h 5min. 28sec.","6/6/2011 19:07","6/6/2011 19:13","Lamont & Mt Pleasant NW (31107)","Adams Mill & Columbia Rd NW (31104)","W00191","Registered"
"0h 7min. 54sec.","4/11/2011 19:13","4/11/2011 19:21","13th St & New York Ave NW (31227)","5th & F St NW (31620)","W00011","Registered"
"0h 12min. 51sec.","5/22/2011 20:26","5/22/2011 20:39","17th & Corcoran St NW (31214)","10th & U St NW (31111)","W00268","Registered"
"0h 18min. 58sec.","5/12/2011 17:17","5/12/2011 17:36","14th & G St NW (31238)","14th & V St NW (31101)","W00859","Registered"
"0h 9min. 6sec.","4/9/2011 1:52","4/9/2011 2:01","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","13th & D St NE (31622)","W00715","Casual"
"0h 13min. 52sec.","5/2/2011 16:29","5/2/2011 16:43","5th & F St NW (31620)","10th & U St NW (31111)","W00037","Registered"
"0h 27min. 9sec.","4/4/2011 19:35","4/4/2011 20:02","21st & M St NW (31212)","17th & K St NW [formerly 17th & L St NW] (31213)","W00259","Casual"
"0h 4min. 12sec.","6/17/2011 19:58","6/17/2011 20:02","16th & U St NW (31229)","20th St & Florida Ave NW (31110)","W00528","Registered"
"0h 8min. 4sec.","5/21/2011 16:00","5/21/2011 16:08","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","13th & D St NE (31622)","W00987","Registered"
"0h 8min. 13sec.","5/14/2011 12:39","5/14/2011 12:47","Calvert St & Woodley Pl NW (31106)","Connecticut Ave & Newark St NW / Cleveland Park (31305)","W00902","Registered"
"0h 10min. 28sec.","6/26/2011 18:42","6/26/2011 18:53","15th & P St NW (31201)","7th & F St NW / National Portrait Gallery (31232)","W00154","Registered"
"0h 7min. 45sec.","5/1/2011 19:45","5/1/2011 19:52","L'Enfant Plaza / 7th & C St SW (31218)","7th & Water St SW / SW Waterfront (31609)","W01071","Casual"
"0h 17min. 47sec.","5/30/2011 17:11","5/30/2011 17:29","Potomac & Pennsylvania Ave SE (31606)","5th & F St NW (31620)","W00676","Registered"
"0h 8min. 41sec.","5/4/2011 22:41","5/4/2011 22:50","Kennedy Center (31211)","Massachusetts Ave & Dupont Circle NW (31200)","W00724","Registered"
"0h 3min. 52sec.","6/13/2011 8:26","6/13/2011 8:30","18th & M St NW (31221)","Massachusetts Ave & Dupont Circle NW (31200)","W00920","Registered"
"0h 11min. 53sec.","4/15/2011 8:45","4/15/2011 8:57","Georgia Ave and Fairmont St NW (31207)","Massachusetts Ave & Dupont Circle NW (31200)","W00037","Registered"
"0h 10min. 33sec.","5/6/2011 17:15","5/6/2011 17:25","Massachusetts Ave & Dupont Circle NW (31200)","Calvert St & Woodley Pl NW (31106)","W00809","Registered"
"0h 7min. 36sec.","5/18/2011 16:47","5/18/2011 16:54","21st & M St NW (31212)","15th & P St NW (31201)","W00855","Registered"
"0h 18min. 19sec.","4/24/2011 10:28","4/24/2011 10:46","Adams Mill & Columbia Rd NW (31104)","10th St & Constitution Ave NW (31219)","W00709","Casual"
"0h 3min. 20sec.","6/13/2011 14:46","6/13/2011 14:49","Adams Mill & Columbia Rd NW (31104)","Calvert St & Woodley Pl NW (31106)","W00960","Registered"
"0h 6min. 28sec.","6/10/2011 8:55","6/10/2011 9:02","Massachusetts Ave & Dupont Circle NW (31200)","25th St & Pennsylvania Ave NW (31237)","W00414","Registered"
"0h 14min. 54sec.","6/6/2011 12:13","6/6/2011 12:28","19th & E Street NW (31206)","7th & F St NW / National Portrait Gallery (31232)","W00456","Casual"
"0h 5min. 9sec.","4/27/2011 7:45","4/27/2011 7:50","New York Ave & 15th St NW (31222)","19th St & Pennsylvania Ave NW (31100)","W00734","Casual"
"0h 44min. 24sec.","6/12/2011 6:38","6/12/2011 7:23","1st & M St NE (31603)","1st & M St NE (31603)","W01079","Casual"
"0h 8min. 40sec.","6/15/2011 15:34","6/15/2011 15:42","M St & New Jersey Ave SE (31208)","3rd & D St SE (31605)","W00689","Registered"
"0h 17min. 9sec.","6/13/2011 17:48","6/13/2011 18:06","L'Enfant Plaza / 7th & C St SW (31218)","Eastern Market / 7th & North Carolina Ave SE (31610)","W00098","Registered"
"0h 12min. 39sec.","6/17/2011 20:36","6/17/2011 20:48","New York Ave & 15th St NW (31222)","14th & V St NW (31101)","W00808","Registered"
"0h 11min. 46sec.","6/7/2011 18:26","6/7/2011 18:38","14th & G St NW (31238)","20th & E St NW (31204)","W00094","Casual"
"0h 18min. 57sec.","5/17/2011 18:14","5/17/2011 18:33","Massachusetts Ave & Dupont Circle NW (31200)","Florida Ave & R St NW (31503)","W01051","Registered"
"0h 13min. 30sec.","6/1/2011 7:15","6/1/2011 7:28","Columbus Circle / Union Station (31623)","1st & N ST SE (31209)","W00501","Registered"
"0h 14min. 34sec.","5/17/2011 16:25","5/17/2011 16:40","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","8th & Eye St SE / Barracks Row (31608)","W01007","Registered"
"0h 11min. 56sec.","4/18/2011 17:41","4/18/2011 17:53","4th St & Massachusetts Ave NW (31604)","Florida Ave & R St NW (31503)","W01066","Registered"
"0h 45min. 28sec.","4/10/2011 17:33","4/10/2011 18:19","Harvard St & Adams Mill Rd NW (31112)","14th & Rhode Island Ave NW (31203)","W00524","Casual"
"0h 29min. 33sec.","4/20/2011 16:09","4/20/2011 16:39","L'Enfant Plaza / 7th & C St SW (31218)","M St & New Jersey Ave SE (31208)","W00027","Registered"
"0h 10min. 57sec.","4/20/2011 17:32","4/20/2011 17:43","18th & M St NW (31221)","New York Ave & 15th St NW (31222)","W00208","Registered"
"0h 15min. 36sec.","5/28/2011 11:36","5/28/2011 11:51","Lamont & Mt Pleasant NW (31107)","Massachusetts Ave & Dupont Circle NW (31200)","W00466","Registered"
"0h 8min. 49sec.","6/1/2011 17:07","6/1/2011 17:16","21st & M St NW (31212)","14th & Rhode Island Ave NW (31203)","W00181","Registered"
"0h 2min. 32sec.","6/18/2011 19:35","6/18/2011 19:37","Convention Center / 7th & M St NW (31223)","5th St & K St NW (31600)","W00905","Registered"
"0h 34min. 37sec.","4/26/2011 18:31","4/26/2011 19:06","19th St & Pennsylvania Ave NW (31100)","7th & Water St SW / SW Waterfront (31609)","W00976","Casual"
"0h 12min. 14sec.","4/17/2011 11:35","4/17/2011 11:47","11th & Kenyon St NW (31102)","Adams Mill & Columbia Rd NW (31104)","W00564","Registered"
"3h 26min. 53sec.","4/3/2011 12:58","4/3/2011 16:25","USDA / 12th & Independence Ave SW (31217)","M St & New Jersey Ave SE (31208)","W00394","Casual"
"0h 21min. 13sec.","5/22/2011 11:39","5/22/2011 12:00","13th & H St NE (31611)","4th & East Capitol St NE (31618)","W00453","Casual"
"0h 35min. 2sec.","6/29/2011 19:34","6/29/2011 20:09","North Capitol St & F St NW (31624)","Adams Mill & Columbia Rd NW (31104)","W00248","Registered"
"0h 14min. 38sec.","4/28/2011 7:02","4/28/2011 7:16","Massachusetts Ave & Dupont Circle NW (31200)","Convention Center / 7th & M St NW (31223)","W00282","Registered"
"0h 11min. 43sec.","6/28/2011 21:57","6/28/2011 22:09","17th & K St NW [formerly 17th & L St NW] (31213)","14th & Rhode Island Ave NW (31203)","W00030","Registered"
"0h 8min. 54sec.","4/10/2011 0:32","4/10/2011 0:41","14th & Rhode Island Ave NW (31203)","21st & M St NW (31212)","W01084","Registered"
"0h 21min. 52sec.","5/7/2011 19:01","5/7/2011 19:23","17th & K St NW / Farragut Square (31233)","13th St & New York Ave NW (31227)","W00159","Casual"
"0h 8min. 3sec.","4/30/2011 13:06","4/30/2011 13:14","8th & H St NW (31228)","Convention Center / 7th & M St NW (31223)","W00933","Casual"
"0h 15min. 40sec.","5/4/2011 18:10","5/4/2011 18:25","14th & D St SE (31607)","5th & F St NW (31620)","W00109","Registered"
"0h 16min. 28sec.","5/5/2011 16:24","5/5/2011 16:40","5th & F St NW (31620)","10th & U St NW (31111)","W00035","Registered"
"0h 4min. 29sec.","4/14/2011 7:05","4/14/2011 7:09","Lincoln Park / 13th & East Capitol St NE  (31619)","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","W00511","Registered"
"0h 5min. 52sec.","6/23/2011 16:43","6/23/2011 16:49","Massachusetts Ave & Dupont Circle NW (31200)","21st & I St NW (31205)","W01129","Registered"
"0h 26min. 15sec.","5/22/2011 12:58","5/22/2011 13:24","14th & R St NW (31202)","Eastern Market / 7th & North Carolina Ave SE (31610)","W00033","Registered"
"0h 14min. 27sec.","4/14/2011 20:50","4/14/2011 21:05","L'Enfant Plaza / 7th & C St SW (31218)","Columbus Circle / Union Station (31623)","w00583","Registered"
"0h 9min. 5sec.","6/2/2011 8:26","6/2/2011 8:35","14th & Harvard St NW (31105)","17th & Corcoran St NW (31214)","W00425","Registered"
"0h 14min. 4sec.","6/16/2011 19:21","6/16/2011 19:35","16th & U St NW (31229)","Florida Ave & R St NW (31503)","W00051","Registered"
"0h 58min. 58sec.","5/15/2011 14:10","5/15/2011 15:09","25th St & Pennsylvania Ave NW (31237)","10th St & Constitution Ave NW (31219)","W01089","Casual"
"0h 7min. 56sec.","5/3/2011 11:55","5/3/2011 12:03","20th & E St NW (31204)","17th & K St NW / Farragut Square (31233)","W00982","Registered"
"0h 8min. 10sec.","5/20/2011 19:37","5/20/2011 19:45","17th & Corcoran St NW (31214)","Adams Mill & Columbia Rd NW (31104)","W00316","Registered"
"0h 24min. 0sec.","4/24/2011 18:25","4/24/2011 18:49","Van Ness Metro / UDC (31300)","Van Ness Metro / UDC (31300)","W00620","Registered"
"1h 11min. 8sec.","6/10/2011 9:26","6/10/2011 10:37","US Dept of State / Virginia Ave & 21st St NW (31220)","19th St & Pennsylvania Ave NW (31100)","W00319","Casual"
"0h 44min. 9sec.","6/5/2011 14:01","6/5/2011 14:45","USDA / 12th & Independence Ave SW (31217)","14th & Rhode Island Ave NW (31203)","W00123","Casual"
"0h 10min. 33sec.","5/8/2011 13:08","5/8/2011 13:18","20th St & Florida Ave NW (31110)","Massachusetts Ave & Dupont Circle NW (31200)","W00600","Registered"
"0h 5min. 50sec.","5/6/2011 19:36","5/6/2011 19:42","8th & H St NW (31228)","14th & Rhode Island Ave NW (31203)","W00535","Registered"
"0h 4min. 14sec.","5/24/2011 7:35","5/24/2011 7:39","14th & G St NW (31238)","5th & F St NW (31620)","W00868","Registered"
"0h 15min. 59sec.","5/8/2011 12:27","5/8/2011 12:43","New York Ave & 15th St NW (31222)","Columbus Circle / Union Station (31623)","W00177","Registered"
"0h 10min. 42sec.","6/29/2011 7:52","6/29/2011 8:03","Convention Center / 7th & M St NW (31223)","21st & M St NW (31212)","W00045","Registered"
"0h 8min. 16sec.","4/15/2011 9:58","4/15/2011 10:06","16th & U St NW (31229)","21st & I St NW (31205)","W00081","Registered"
"0h 27min. 39sec.","4/30/2011 16:20","4/30/2011 16:48","New York Ave & 15th St NW (31222)","North Capitol St & F St NW (31624)","W00796","Casual"
"0h 9min. 56sec.","5/24/2011 10:48","5/24/2011 10:58","14th & G St NW (31238)","Kennedy Center (31211)","W00255","Registered"
"0h 12min. 20sec.","4/20/2011 17:08","4/20/2011 17:21","14th & G St NW (31238)","10th & U St NW (31111)","W00427","Registered"
"0h 17min. 22sec.","5/22/2011 14:41","5/22/2011 14:59","14th & Rhode Island Ave NW (31203)","15th & P St NW (31201)","W00046","Registered"
"0h 11min. 43sec.","5/10/2011 7:53","5/10/2011 8:05","20th St & Florida Ave NW (31110)","11th & Kenyon St NW (31102)","W00328","Registered"
"0h 18min. 28sec.","5/27/2011 7:39","5/27/2011 7:57","Georgia & New Hampshire Ave NW (31400)","14th & D St NW / Ronald Reagan Building (31231)","W00177","Registered"
"0h 43min. 40sec.","4/23/2011 18:59","4/23/2011 19:43","New York Ave & 15th St NW (31222)","Georgetown Harbor / 30th St NW (31215)","W01055","Casual"
"0h 5min. 1sec.","6/7/2011 14:26","6/7/2011 14:31","25th St & Pennsylvania Ave NW (31237)","US Dept of State / Virginia Ave & 21st St NW (31220)","W00920","Registered"
"0h 8min. 44sec.","5/27/2011 18:47","5/27/2011 18:56","Florida Ave & R St NW (31503)","5th & F St NW (31620)","W00855","Registered"
"0h 12min. 42sec.","5/14/2011 11:17","5/14/2011 11:30","20th & Crystal Dr (31002)","23rd & Eads (31013)","W00328","Registered"
"0h 7min. 52sec.","4/22/2011 16:06","4/22/2011 16:14","McPherson Square - 14th & H St NW (31216)","5th & F St NW (31620)","W00146","Registered"
"0h 11min. 13sec.","6/2/2011 22:26","6/2/2011 22:37","M St & New Jersey Ave SE (31208)","Potomac & Pennsylvania Ave SE (31606)","W00325","Registered"
"0h 27min. 37sec.","5/15/2011 17:38","5/15/2011 18:06","7th & F St NW / National Portrait Gallery (31232)","Park Rd & Holmead Pl NW (31602)","W00703","Registered"
"0h 6min. 51sec.","6/17/2011 13:12","6/17/2011 13:19","Lincoln Park / 13th & East Capitol St NE  (31619)","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","W00634","Registered"
"0h 5min. 49sec.","5/28/2011 0:16","5/28/2011 0:21","16th & U St NW (31229)","14th & Harvard St NW (31105)","W00846","Registered"
"0h 13min. 36sec.","4/25/2011 22:18","4/25/2011 22:32","US Dept of State / Virginia Ave & 21st St NW (31220)","C & O Canal & Wisconsin Ave NW (31225)","W00652","Casual"
"0h 8min. 11sec.","4/27/2011 7:34","4/27/2011 7:43","16th & U St NW (31229)","16th & U St NW (31229)","W00289","Registered"
"0h 10min. 40sec.","5/9/2011 20:52","5/9/2011 21:03","37th & O St NW / Georgetown University (31236)","Massachusetts Ave & Dupont Circle NW (31200)","W01003","Casual"
"0h 9min. 28sec.","5/23/2011 8:02","5/23/2011 8:11","15th & P St NW (31201)","18th & M St NW (31221)","W00150","Registered"
"0h 26min. 23sec.","5/26/2011 10:36","5/26/2011 11:02","Van Ness Metro / UDC (31300)","15th & P St NW (31201)","W01047","Registered"
"0h 5min. 32sec.","5/9/2011 17:02","5/9/2011 17:07","27th & Crystal Dr (31009)","18th & Bell St (31007)","W00764","Registered"
"0h 23min. 47sec.","6/30/2011 12:06","6/30/2011 12:30","13th St & New York Ave NW (31227)","M St & New Jersey Ave SE (31208)","W00213","Registered"
"0h 40min. 44sec.","6/2/2011 20:05","6/2/2011 20:46","7th & Water St SW / SW Waterfront (31609)","7th & Water St SW / SW Waterfront (31609)","W01110","Casual"
"0h 33min. 14sec.","5/23/2011 18:48","5/23/2011 19:22","13th St & New York Ave NW (31227)","7th & T St NW (31109)","W00685","Registered"
"0h 6min. 19sec.","5/6/2011 12:46","5/6/2011 12:52","19th & L St NW (31224)","21st & I St NW (31205)","W01002","Registered"
"0h 15min. 0sec.","6/23/2011 20:04","6/23/2011 20:19","16th & U St NW (31229)","4th St & Massachusetts Ave NW (31604)","W01131","Registered"
"0h 22min. 19sec.","5/10/2011 21:54","5/10/2011 22:16","17th & Corcoran St NW (31214)","5th & F St NW (31620)","W00704","Registered"
"0h 10min. 11sec.","6/25/2011 2:04","6/25/2011 2:14","16th & U St NW (31229)","5th St & K St NW (31600)","W00111","Registered"
"0h 14min. 37sec.","5/13/2011 17:11","5/13/2011 17:26","15th & P St NW (31201)","11th & Kenyon St NW (31102)","W00209","Casual"
"0h 0min. 34sec.","6/14/2011 13:36","6/14/2011 13:37","15th & Hayes St (31005)","15th & Hayes St (31005)","W00470","Registered"
"0h 19min. 39sec.","4/26/2011 19:30","4/26/2011 19:49","USDA / 12th & Independence Ave SW (31217)","New York Ave & 15th St NW (31222)","W00523","Casual"
"1h 51min. 39sec.","5/5/2011 11:59","5/5/2011 13:51","19th St & Pennsylvania Ave NW (31100)","19th St & Pennsylvania Ave NW (31100)","W00690","Casual"
"2h 11min. 24sec.","4/17/2011 15:17","4/17/2011 17:28","4th & East Capitol St NE (31618)","13th & D St NE (31622)","W00339","Casual"
"0h 4min. 34sec.","6/6/2011 12:47","6/6/2011 12:52","Massachusetts Ave & Dupont Circle NW (31200)","25th St & Pennsylvania Ave NW (31237)","W00613","Registered"
