"iso3","country","continent","population","GNI"
"PNG","Papua New Guinea","Oceania",6858,1300
"POL","Poland","Europe",38184,12440
"PRI","Puerto Rico","North America",3978,15500
"PRK","Korea","Asia",24346,0
"PRT","Portugal","Europe",10638,21870
"PRY","Paraguay","South America",6454,2720
"PYF","French Polynesia","Oceania",271,0
"QAT","Qatar","Asia",1759,0
"RUS","Russian Federation","Europe",141750,9900
"RWA","Rwanda","Africa",10624,520
"SAU","Saudi Arabia","Asia",27448,0
"SDN","Sudan","Africa",43552,1270
"SEN","Senegal","Africa",12434,1080
"SGP","Singapore","Asia",5077,40070
"SLB","Solomon Islands","Oceania",538,1030
"SLE","Sierra Leone","Africa",5867,340
"SLV","El Salvador","North America",6193,3380
"SMR","San Marino","Europe",32,0
"SOM","Somalia","Africa",9331,0
"SRB","Serbia","Europe",7291,5630
"SSD","South Sudan","Africa",0,0
"STP","Sao Tome and Principe","Africa",165,1200
"SUR","Suriname","South America",525,0
"SVK","Slovakia (Slovak Republic)","Europe",5430,16840
"SVN","Slovenia","Europe",2049,23900
"SWE","Sweden","Europe",9378,50100
"SWZ","Swaziland","Africa",1056,2930
"SXM","Sint Maarten (Dutch part)","North America",38,0
"SYC","Seychelles","Africa",87,9710
"SYR","Syrian Arab Republic","Asia",20447,2750
"TCA","Turks and Caicos Islands","North America",38,0
"TCD","Chad","Africa",11227,620
"TGO","Togo","Africa",6028,490
"THA","Thailand","Asia",69122,4150
"TJK","Tajikistan","Asia",6879,800
"TKM","Turkmenistan","Asia",5042,3790
"TON","Tonga","Oceania",104,3290
"TTO","Trinidad and Tobago","North America",1341,15380
"TUN","Tunisia","Africa",10549,4160
"TUR","Turkey","Asia",72752,9890
"TUV","Tuvalu","Oceania",10,4760
"TZA","Tanzania","Africa",44841,540
"UGA","Uganda","Africa",33424,500
"UKR","Ukraine","Europe",45871,3000
"URY","Uruguay","South America",3357,10230
"USA","United States of America","North America",309349,47340
"UZB","Uzbekistan","Asia",28228,1280
"VCT","Saint Vincent and the Grenadines","North America",109,6320
"VEN","Venezuela","South America",28834,11590
"VIR","United States Virgin Islands","North America",110,0
"VNM","Vietnam","Asia",86928,1160
"VUT","Vanuatu","Oceania",240,2640
"WSM","Samoa","Oceania",184,2980
"YEM","Yemen","Asia",24053,1170
"ZAF","South Africa","Africa",49991,6090
"ZMB","Zambia","Africa",12927,1070
"ZWE","Zimbabwe","Africa",12571,460
